Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
108	aevum:Nom.Pl	2	n	Nom.Pl	Nom	Pl	91	a	aeva	a	as	o	o	o	o	o	o	o	o	o
109	aevum:Acc.Sg	2	n	Acc.Sg	Acc	Sg	91	um	aevum	o	o	o	o	o	o	o	o	o	o	o
110	aevum:Dat.Pl	2	n	Dat.Pl	Dat	Pl	91	īs	aevīs	is	s	es	es	es	es	es	es	es	o	o
111	affectus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	185	us	affectus	os	os	o	o	o	o	o	o	o	o	o
112	affectus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	185	ibus	affectibus	ebos	os	os	o	o	o	o	o	o	o	o
113	affectus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	185	uī	affectuī	oi	os	os	o	o	o	o	o	o	os	os
114	affectus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	185	ūs	affectūs	us	os	o	o	o	o	o	o	o	o	o
115	affectus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	185	ūs	affectūs	us	os	os	os	o	o	o	o	o	os	es
116	affectus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	185	uum	affectuum	u	es	es	es	es	es	es	es	es	es	es
117	affectus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	185	ū	affectū	u	os	o	o	o	o	o	o	o	o	o
118	affectus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	185	ūs	affectūs	us	os	os	o	o	o	o	o	o	o	o
119	affectus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	185	um	affectum	o	os	o	o	o	o	o	o	o	o	o
120	affectus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	185	ibus	affectibus	ebos	es	es	es	es	es	es	es	es	es	es
121	ager:Nom.Sg	2	m	Nom.Sg	Nom	Sg	337		ager		o	o	o	o	o	o	o	o	o	o
122	ager:Abl.Pl	2	m	Abl.Pl	Abl	Pl	337	īs	agrīs	is	es		o	o	o	o	o	o	o	o
123	ager:Dat.Sg	2	m	Dat.Sg	Dat	Sg	337	ō	agrō	o	os	os	os	o	o	o	o	o	o	o
124	ager:Acc.Pl	2	m	Acc.Pl	Acc	Pl	337	ōs	agrōs	os	os	o	o	o	o	o	o	o	o	o
125	ager:Gen.Sg	2	m	Gen.Sg	Gen	Sg	337	ī	agrī	i	s	s	os	o	o	o	o	o	o	o
126	ager:Gen.Pl	2	m	Gen.Pl	Gen	Pl	337	ōrum	agrōrum	oro	es	es	es	es	es	es	es	es	o	o
127	ager:Abl.Sg	2	m	Abl.Sg	Abl	Sg	337	ō	agrō	o	o	o	o	o	o	o	o	o	o	o
128	ager:Nom.Pl	2	m	Nom.Pl	Nom	Pl	337	ī	agrī	i	os	o	o	o	o	o	o	o	o	o
129	ager:Acc.Sg	2	m	Acc.Sg	Acc	Sg	337	um	agrum	o	o	o	o	o	o	o	o	o	o	o
130	ager:Dat.Pl	2	m	Dat.Pl	Dat	Pl	337	īs	agrīs	is	es	es	es	es	es	es	es	es	o	o
131	agger:Nom.Sg	3	m	Nom.Sg	Nom	Sg	76		agger		es	es	es	es	es	es	es	es	es	es
132	agger:Abl.Pl	3	m	Abl.Pl	Abl	Pl	76	ibus	aggeribus	ebos	es	es	es	es	es	es	es	es	es	es
133	agger:Dat.Sg	3	m	Dat.Sg	Dat	Sg	76	ī	aggerī	i	es	es	es	es	es	es	es	es	es	es
134	agger:Acc.Pl	3	m	Acc.Pl	Acc	Pl	76	ēs	aggerēs	es	es	es	es	es	es	es	es	es	es	es
135	agger:Gen.Sg	3	m	Gen.Sg	Gen	Sg	76	is	aggeris	es	es	es	es	es	es	es	es	es	es	es
136	agger:Gen.Pl	3	m	Gen.Pl	Gen	Pl	76	um	aggerum	o	es	es	es	es	es	es	es	es	es	es
137	agger:Abl.Sg	3	m	Abl.Sg	Abl	Sg	76	e	aggere	e	es	es	es	es	es	es	es	es	es	es
138	agger:Nom.Pl	3	m	Nom.Pl	Nom	Pl	76	ēs	aggerēs	es	es	es	es	es	es	es	es	es	es	es
139	agger:Acc.Sg	3	m	Acc.Sg	Acc	Sg	76	em	aggerem	e	es	es	es	es	es	es	es	es	es	es
140	agger:Dat.Pl	3	m	Dat.Pl	Dat	Pl	76	ibus	aggeribus	ebos	es	es	es	es	es	es	es	es	es	es
141	agmen:Nom.Sg	3	n	Nom.Sg	Nom	Sg	360		agmen			es	es	es	es	es	es	es	es	es
142	agmen:Abl.Pl	3	n	Abl.Pl	Abl	Pl	360	ibus	agminibus	ebos	es	es	es	es	es	es	es	es	es	es
143	agmen:Dat.Sg	3	n	Dat.Sg	Dat	Sg	360	ī	agminī	i	es	es	es	es	es	es	es	es	es	es
144	agmen:Acc.Pl	3	n	Acc.Pl	Acc	Pl	360	a	agmina	a	as	es	es	es	es	es	es	es	es	es
145	agmen:Gen.Sg	3	n	Gen.Sg	Gen	Sg	360	is	agminis	es	e	es	es	es	es	es	es	es	es	es
146	agmen:Gen.Pl	3	n	Gen.Pl	Gen	Pl	360	um	agminum	o	s	es	es	es	es	es	es	es	es	es
147	agmen:Abl.Sg	3	n	Abl.Sg	Abl	Sg	360	e	agmine	e	e	es	es	es	es	es	es	es	es	es
148	agmen:Nom.Pl	3	n	Nom.Pl	Nom	Pl	360	a	agmina	a	a	es	es	es	es	es	es	es	es	es
149	agmen:Acc.Sg	3	n	Acc.Sg	Acc	Sg	360		agmen			es	es	es	es	es	es	es	es	es
150	agmen:Dat.Pl	3	n	Dat.Pl	Dat	Pl	360	ibus	agminibus	ebos	s	es	es	es	es	es	es	es	es	es
151	ala:Nom.Sg	1	f	Nom.Sg	Nom	Sg	73	a	āla	a	a	a	a	a	a	a	a	a	a	a
152	ala:Abl.Pl	1	f	Abl.Pl	Abl	Pl	73	īs	ālīs	is	es	a	a	a	a	a	a	a	a	a
153	ala:Dat.Sg	1	f	Dat.Sg	Dat	Sg	73	ae	ālae	e	es	es	es	es	es	es	es	es	es	es
154	ala:Acc.Pl	1	f	Acc.Pl	Acc	Pl	73	ās	ālās	as	as	a	a	a	a	a	a	a	a	a
