Word	Declined	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
aetas:Gen.Sg	aetātis	is	is	is	is	is	is	is	is	ō	ō	ō	ō	ō	ō	ō
aetas:Gen.Pl	aetātum	um	um	um	um	um	um	um	um	um	um	um	uum	um	um	um
aetas:Abl.Sg	aetāte	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aetas:Nom.Pl	aetātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aetas:Acc.Sg	aetātem	em	em	em	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum
aetas:Dat.Pl	aetātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aevum:Nom.Sg	aevum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aevum:Abl.Pl	aevīs	īs	īs	a	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
aevum:Dat.Sg	aevō	ō	ō	e	e	e	e	e	e	e	e	e	e	e	e	e
aevum:Acc.Pl	aeva	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
aevum:Gen.Sg	aevī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
aevum:Gen.Pl	aevōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	īs	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
aevum:Abl.Sg	aevō	ō	ō	e	e	e	e	e	e	e	e	e	e	e	e	e
aevum:Nom.Pl	aeva	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
aevum:Acc.Sg	aevum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aevum:Dat.Pl	aevīs	īs	īs	a	īs	is	īs	is	īs	īs	īs	īs	a	īs	īs	īs
affectus:Nom.Sg	affectus	us	us	us	us	us	us	us	us	us	us	us	us	us	us	us
affectus:Abl.Pl	affectibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
affectus:Dat.Sg	affectuī	uī	uī	ū	um	um	um	uum	uum	NULL	uum	um	um	um	um	um
affectus:Acc.Pl	affectūs	ūs	ūs	us	us	us	us	us	us	us	us	us	us	us	us	us
affectus:Gen.Sg	affectūs	ūs	ūs	us	us	us	us	us	us	us	us	us	us	us	us	us
affectus:Gen.Pl	affectuum	uum	um	um	um	um	um	um	um	um	um	um	um	um	um	um
affectus:Abl.Sg	affectū	ū	ū	NULL	ū	ū	ū	NULL	ū	ū	ū	ī	ī	ī	ī	ī
affectus:Nom.Pl	affectūs	ūs	ūs	us	us	us	us	us	us	us	us	us	us	us	us	us
affectus:Acc.Sg	affectum	um	um	um	um	um	um	uum	um	um	um	um	um	um	um	um
affectus:Dat.Pl	affectibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
ager:Nom.Sg	ager	NULL	em	ēs	ōrum	īs	e	e	e	ō	ō	ō	ō	ās	ōrum	ōrum
ager:Abl.Pl	agrīs	īs	īs	a	īs	a	a	īs	īs	īs	īs	īs	īs	īs	īs	īs
ager:Dat.Sg	agrō	ō	ō	e	e	e	e	e	e	e	e	e	e	e	e	e
ager:Acc.Pl	agrōs	ōs	ōs	ōs	ūs	ūs	e	us	ēbus	us	us	us	us	us	us	us
ager:Gen.Sg	agrī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
ager:Gen.Pl	agrōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	īs	īs	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
ager:Abl.Sg	agrō	ō	ō	e	e	e	e	e	e	e	e	e	e	e	e	e
ager:Nom.Pl	agrī	ī	ī	ī	ī	us	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
ager:Acc.Sg	agrum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
ager:Dat.Pl	agrīs	īs	īs	a	a	us	a	a	īs	ēī	īs	īs	īs	īs	īs	īs
agger:Nom.Sg	agger	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
agger:Abl.Pl	aggeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
agger:Dat.Sg	aggerī	ī	ī	ī	ī	ī	ī	ōs	ī	ū	ī	ī	ī	ī	ī	ī
agger:Acc.Pl	aggerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
agger:Gen.Sg	aggeris	is	is	ae	is	is	is	is	is	ō	ō	ō	ō	ō	ō	ō
agger:Gen.Pl	aggerum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
agger:Abl.Sg	aggere	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
agger:Nom.Pl	aggerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
agger:Acc.Sg	aggerem	em	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum
agger:Dat.Pl	aggeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
agmen:Nom.Sg	agmen	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
agmen:Abl.Pl	agminibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
agmen:Dat.Sg	agminī	ī	ī	ī	ī	ī	ī	ōs	ī	ū	ī	ī	ī	ī	ī	ī
agmen:Acc.Pl	agmina	a	a	a	a	a	a	a	a	a	a	ae	a	a	a	a
agmen:Gen.Sg	agminis	is	is	ae	is	is	is	is	is	ō	ō	ō	ō	ō	ō	ō
agmen:Gen.Pl	agminum	um	um	um	um	um	um	um	um	um	um	uum	um	um	um	um
agmen:Abl.Sg	agmine	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
agmen:Nom.Pl	agmina	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
agmen:Acc.Sg	agmen	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
agmen:Dat.Pl	agminibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
ala:Nom.Sg	āla	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
ala:Abl.Pl	ālīs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
ala:Dat.Sg	ālae	ae	ae	ae	ae	a	ae	ae	ae	ae	ae	ae	ae	e	e	e
ala:Acc.Pl	ālās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās
ala:Gen.Sg	ālae	ae	ae	ae	ae	a	ae	ae	ae	ae	ae	ae	ae	e	e	e
ala:Gen.Pl	ālārum	ārum	ārum	īs	ārum	īs	ārum	ā	ārum	ārum	ārum	ārum	ārum	ārum	ārum	ārum
ala:Abl.Sg	ālā	ā	ā	ā	ā	ā	ā	ā	ā	es	es	es	es	es	es	es
ala:Nom.Pl	ālae	ae	ae	a	a	a	a	a	a	a	a	a	a	a	a	a
ala:Acc.Sg	ālam	am	am	am	um	um	um	um	um	um	um	um	um	um	um	um
ala:Dat.Pl	ālīs	īs	īs	a	īs	īs	īs	is	īs	īs	īs	īs	īs	īs	īs	īs
altum:Nom.Sg	altum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
altum:Abl.Pl	altīs	īs	īs	a	a	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
altum:Dat.Sg	altō	ō	ō	e	e	e	e	e	e	e	e	e	e	e	e	e
altum:Acc.Pl	alta	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
altum:Gen.Sg	altī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
altum:Gen.Pl	altōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	īs	īs	īs	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
altum:Abl.Sg	altō	ō	ō	e	e	e	e	e	e	e	e	e	e	e	e	e
altum:Nom.Pl	alta	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
altum:Acc.Sg	altum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
altum:Dat.Pl	altīs	īs	īs	a	a	a	īs	is	īs	īs	īs	īs	īs	īs	īs	īs
amica:Nom.Sg	amīca	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
amica:Abl.Pl	amīcīs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
amica:Dat.Sg	amīcae	ae	ae	ae	ae	ae	es	ae	ae	ae	ae	e	e	e	e	e
amica:Acc.Pl	amīcās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās
amica:Gen.Sg	amīcae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae	e	e	e	e
amica:Gen.Pl	amīcārum	ārum	ārum	ārum	ārum	ārum	ārum	ārum	ārum	ārum	ārum	ārum	ārum	ārum	ārum	ārum
amica:Abl.Sg	amīcā	ā	ā	ā	ā	ā	ā	ā	ā	es	es	es	es	es	es	es
amica:Nom.Pl	amīcae	ae	ae	a	a	a	ae	a	a	a	a	a	a	a	a	a
amica:Acc.Sg	amīcam	am	am	am	am	um	um	um	um	um	um	um	um	um	um	um
amica:Dat.Pl	amīcīs	īs	īs	a	īs	īs	īs	is	īs	īs	īs	īs	īs	īs	īs	īs
amicus:Nom.Sg	amīcus	us	us	us	us	us	us	us	us	us	us	us	us	us	us	us
amicus:Abl.Pl	amīcīs	īs	īs	a	a	us	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
amicus:Dat.Sg	amīcō	ō	ō	e	e	e	e	e	ē	e	e	e	e	e	e	e
amicus:Acc.Pl	amīcōs	ōs	ōs	ōs	ūs	ūs	us	us	us	us	us	us	us	us	us	us
amicus:Gen.Sg	amīcī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
amicus:Gen.Pl	amīcōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
