Word	Declined	0	1	2	3	4	5	6	7	8	9	10
ala:Nom.Pl	ālae	ae	ae	a	N/A	a	a	a	a	a	a	a
ala:Acc.Sg	ālam	am	am	am	um	am	am	am	um	um	um	um
ala:Dat.Pl	ālīs	īs	īs	īs	īs	is	is	is	is	is	ēī	us
altum:Nom.Sg	altum	um	um	um	um	um	um	um	um	um	um	um
altum:Abl.Pl	altīs	īs	īs	īs	īs	īs	is	ērum	is	a	a	a
altum:Dat.Sg	altō	ō	ō	e	ōrum	ōrum	ēs	ēs	ū	ū	ū	ī
altum:Acc.Pl	alta	a	a	a	a	a	a	a	a	a	a	a
altum:Gen.Sg	altī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
altum:Gen.Pl	altōrum	ōrum	am	uī	um	um	um	um	um	um	um	ū
altum:Abl.Sg	altō	ō	ō	ō	ō	ō	ō	ō	ō	e	e	e
altum:Nom.Pl	alta	a	a	a	a	a	a	a	a	a	a	a
altum:Acc.Sg	altum	um	um	um	um	um	um	um	um	um	um	um
altum:Dat.Pl	altīs	īs	īs	īs	īs	is	is	ērum	is	is	ēī	us
amica:Nom.Sg	amīca	a	a	a	a	a	a	a	a	a	a	a
amica:Abl.Pl	amīcīs	īs	īs	ōrum	īs	ōrum	us	us	a	ae	a	a
amica:Dat.Sg	amīcae	ae	ae	ae	ium	īs	a	a	a	a	a	a
amica:Acc.Pl	amīcās	ās	ās	ās	ās	am	ōrum	ēs	ēs	ēs	ēs	ēs
amica:Gen.Sg	amīcae	ae	ae	ae	a	a	a	a	a	a	a	a
amica:Gen.Pl	amīcārum	ārum	ā	am	am	am	am	um	um	um	um	um
amica:Abl.Sg	amīcā	ā	ā	ās	ās	ās	ās	e	e	e	e	e
amica:Nom.Pl	amīcae	ae	ae	a	a	a	a	a	a	a	a	a
amica:Acc.Sg	amīcam	am	am	ās	am	am	am	um	um	um	um	um
amica:Dat.Pl	amīcīs	īs	īs	īs	a	a	us	us	a	is	ēī	us
amicus:Nom.Sg	amīcus	us	ī	ū	ī	ī	ī	ī	ī	ī	ī	ī
amicus:Abl.Pl	amīcīs	īs	īs	ēs	a	a	us	us	a	a	a	a
amicus:Dat.Sg	amīcō	ō	ō	ō	ōrum	ōrum	ēs	em	um	ū	ū	ī
amicus:Acc.Pl	amīcōs	ōs	ūs	ūs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amicus:Gen.Sg	amīcī	ī	ī	ū	ī	ī	ī	ī	ī	ī	ī	ī
amicus:Gen.Pl	amīcōrum	ōrum	am	um	um	um	um	um	um	um	um	ū
amicus:Abl.Sg	amīcō	ō	ō	ō	ō	ō	ō	ō	ō	e	e	e
amicus:Nom.Pl	amīcī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
amicus:Acc.Sg	amīcum	um	um	um	um	um	um	um	um	um	um	um
amicus:Dat.Pl	amīcīs	īs	īs	ēbus	a	a	us	us	a	a	ēī	ī
amnis:Nom.Sg	amnis	is	is	is	is	is	is	is	is	is	īs	īs
amnis:Abl.Pl	amnibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
amnis:Dat.Sg	amnī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
amnis:Acc.Pl	amnēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amnis:Gen.Sg	amnis	is	is	is	is	is	is	is	is	is	is	īs
amnis:Gen.Pl	amnium	ium	ia	ī	ī	ī	ī	ī	ī	ī	ī	ī
amnis:Abl.Sg	amne	e	e	e	e	e	e	e	e	e	e	e
amnis:Nom.Pl	amnēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amnis:Acc.Sg	amnem	em	uum	uum	uum	um	um	um	um	um	um	um
amnis:Dat.Pl	amnibus	ibus	ibus	ibus	ibus	uī	ibus	ibus	ibus	ibus	ibus	ibus
amor:Nom.Sg	amor	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
amor:Abl.Pl	amōribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
amor:Dat.Sg	amōrī	ī	ī	ū	ī	ī	ī	ī	ī	ī	ī	ī
