Word	Declined	0	1
arma:Dat.Sg	N/AN/A	N/A	a
arma:Acc.Pl	arma	a	a
arma:Gen.Sg	N/AN/A	N/A	N/A
arma:Gen.Pl	armōrum	ōrum	ēs
arma:Abl.Sg	N/AN/A	N/A	N/A
arma:Nom.Pl	arma	a	a
arma:Acc.Sg	N/AN/A	N/A	N/A
arma:Dat.Pl	armīs	īs	īs
armentum:Nom.Sg	armentum	um	um
armentum:Abl.Pl	armentīs	īs	īs
armentum:Dat.Sg	armentō	ō	ō
armentum:Acc.Pl	armenta	a	a
armentum:Gen.Sg	armentī	ī	ī
armentum:Gen.Pl	armentōrum	ōrum	ōrum
armentum:Abl.Sg	armentō	ō	em
armentum:Nom.Pl	armenta	a	a
armentum:Acc.Sg	armentum	um	um
armentum:Dat.Pl	armentīs	īs	īs
ars:Nom.Sg	ars	NULL	NULL
ars:Abl.Pl	artibus	ibus	ibus
ars:Dat.Sg	artī	ī	ī
ars:Acc.Pl	artēs	ēs	ēs
ars:Gen.Sg	artis	is	is
ars:Gen.Pl	artium	ium	ium
ars:Abl.Sg	arte	e	e
ars:Nom.Pl	artēs	ēs	ēs
ars:Acc.Sg	artem	em	em
ars:Dat.Pl	artibus	ibus	ibus
artifex:Nom.Sg	artifex	NULL	NULL
artifex:Abl.Pl	artificibus	ibus	ibus
artifex:Dat.Sg	artificī	ī	ī
artifex:Acc.Pl	artificēs	ēs	ēs
artifex:Gen.Sg	artificis	is	is
artifex:Gen.Pl	artificum	um	um
artifex:Abl.Sg	artifice	e	e
artifex:Nom.Pl	artificēs	ēs	ēs
artifex:Acc.Sg	artificem	em	em
artifex:Dat.Pl	artificibus	ibus	ibus
artus:Nom.Sg	artus	us	us
artus:Abl.Pl	artubus	ubus	ibus
artus:Dat.Sg	artuī	uī	um
artus:Acc.Pl	artūs	ūs	us
artus:Gen.Sg	artūs	ūs	ūs
artus:Gen.Pl	artuum	uum	ēs
artus:Abl.Sg	artū	ū	ū
artus:Nom.Pl	artūs	ūs	us
artus:Acc.Sg	artum	um	um
