Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
animal:Acc.Pl	3	n	Acc.Pl	307	ia	animālia	ea						e	e	e	e	e
animal:Gen.Sg	3	n	Gen.Sg	307	is	animālis	ei	e	e								
animal:Gen.Pl	3	n	Gen.Pl	307	ium	animālium	eu	e	e	ei	ei	i	e	e	e	e	e
animal:Abl.Sg	3	n	Abl.Sg	307	ī	animālī	i	e									
animal:Nom.Pl	3	n	Nom.Pl	307	ia	animālia	ea						e	e	e	e	e
animal:Acc.Sg	3	n	Acc.Sg	307		animal											
animal:Dat.Pl	3	n	Dat.Pl	307	ibus	animālibus	eui	e	e	ei	ei	e	e	e	e	e	e
animus:Nom.Sg	2	m	Nom.Sg	2407	us	animus	ui	u	u	u	u	u	u	u	u	u	u
animus:Abl.Pl	2	m	Abl.Pl	2407	īs	animīs	ī	i									
animus:Dat.Sg	2	m	Dat.Sg	2407	ō	animō	u	u			u	u	u	u	u	u	u
animus:Acc.Pl	2	m	Acc.Pl	2407	ōs	animōs	ui	i	i								
animus:Gen.Sg	2	m	Gen.Sg	2407	ī	animī	i				u	u	u	u	u	u	u
animus:Gen.Pl	2	m	Gen.Pl	2407	ōrum	animōrum	oru	u	e								
animus:Abl.Sg	2	m	Abl.Sg	2407	ō	animō	u	u	u	u	u	u	u	u	u	u	u
animus:Nom.Pl	2	m	Nom.Pl	2407	ī	animī	i	i	i								
animus:Acc.Sg	2	m	Acc.Sg	2407	um	animum	u	u	u	u	u	u	u	u	u	u	u
animus:Dat.Pl	2	m	Dat.Pl	2407	īs	animīs	ī	i	i						e	e	e
annus:Nom.Sg	2	m	Nom.Sg	650	us	annus	ui	u	u	u	u	u	u	u	u	u	u
annus:Abl.Pl	2	m	Abl.Pl	650	īs	annīs	ī	iu									
annus:Dat.Sg	2	m	Dat.Sg	650	ō	annō	u	u			u	u	u	u	u	u	u
annus:Acc.Pl	2	m	Acc.Pl	650	ōs	annōs	ui	i	i								
annus:Gen.Sg	2	m	Gen.Sg	650	ī	annī	i				u	u	u	u	u	u	u
annus:Gen.Pl	2	m	Gen.Pl	650	ōrum	annōrum	oru	iu	ei	ei							
annus:Abl.Sg	2	m	Abl.Sg	650	ō	annō	u	u	u	u	u	u	u	u	u	u	u
annus:Nom.Pl	2	m	Nom.Pl	650	ī	annī	i	i	i								
annus:Acc.Sg	2	m	Acc.Sg	650	um	annum	u	ui	u	u	u	u	u	u	u	u	u
annus:Dat.Pl	2	m	Dat.Pl	650	īs	annīs	ī	iu	ei	ei						e	e
aqua:Nom.Sg	1	f	Nom.Sg	383	a	aqua	a	a	a	a	a	a	a	a	a	a	a
aqua:Abl.Pl	1	f	Abl.Pl	383	īs	aquīs	ī	a	a	ai	ai	ai	ai	ai	ai	ai	ai
aqua:Dat.Sg	1	f	Dat.Sg	383	ae	aquae	ea	e	e	e	e	e	e	e	e	e	e
