Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
amica:Gen.Pl	1	f	Gen.Pl	564	ārum	amīcārum	aro	es	es	es	es	es	es	es	es	es	es
amica:Abl.Sg	1	f	Abl.Sg	564	ā	amīcā	a	a	a	a	a	a	a	a	a	a	a
amica:Nom.Pl	1	f	Nom.Pl	564	ae	amīcae	e	as	as	as	as	as	as	as	as	as	as
amica:Acc.Sg	1	f	Acc.Sg	564	am	amīcam	a	a	a	a	a	a	a	a	a	a	a
amica:Dat.Pl	1	f	Dat.Pl	564	īs	amīcīs	is	s	es	es	es	es	es	es	es	es	es
amicus:Nom.Sg	2	m	Nom.Sg	564	us	amīcus	os	os	o	o	o	o	o	o	o	o	o
amicus:Abl.Pl	2	m	Abl.Pl	564	īs	amīcīs	is	is	es	es	es	es	es	es	es	es	es
amicus:Dat.Sg	2	m	Dat.Sg	564	ō	amīcō	o	o			e	e					
amicus:Acc.Pl	2	m	Acc.Pl	564	ōs	amīcōs	os	os	s	s	s	es	es	es	es	es	es
amicus:Gen.Sg	2	m	Gen.Sg	564	ī	amīcī	i	i	s								
amicus:Gen.Pl	2	m	Gen.Pl	564	ōrum	amīcōrum	oro	s	es	es	es	es	es	es	es	es	es
amicus:Abl.Sg	2	m	Abl.Sg	564	ō	amīcō	o	o	o	o	o	o	o	o	o	o	o
amicus:Nom.Pl	2	m	Nom.Pl	564	ī	amīcī	i	s	s	s	s	s				es	es
amicus:Acc.Sg	2	m	Acc.Sg	564	um	amīcum	o	o	o	o	o	o	o	o	o	o	o
amicus:Dat.Pl	2	m	Dat.Pl	564	īs	amīcīs	is	s	es	es	es	es	es	es	es	es	es
amnis:Nom.Sg	3	m	Nom.Sg	244	is	amnis	es										
amnis:Abl.Pl	3	m	Abl.Pl	244	ibus	amnibus	ebos	es	es	es	es	es	es	es	es	es	es
amnis:Dat.Sg	3	m	Dat.Sg	244	ī	amnī	i	e	es	es	es	es	es	es	es	es	es
amnis:Acc.Pl	3	m	Acc.Pl	244	ēs	amnēs	es	es	es	es	es	es	es	es	es	es	es
amnis:Gen.Sg	3	m	Gen.Sg	244	is	amnis	es	es	es	es	es	es	es	es	es	es	es
amnis:Gen.Pl	3	m	Gen.Pl	244	ium	amnium	eo	es	es	es	es	es	es	es	es	es	es
amnis:Abl.Sg	3	m	Abl.Sg	244	e	amne	e	e	e	e	e	e	e	e	e	e	e
amnis:Nom.Pl	3	m	Nom.Pl	244	ēs	amnēs	es	es	es	es	es	es	es	es	es	es	es
amnis:Acc.Sg	3	m	Acc.Sg	244	em	amnem	e	e	e	e	e	e	e	e	e	e	e
amnis:Dat.Pl	3	m	Dat.Pl	244	ibus	amnibus	ebos	es	es	es	es	es	es	es	es	es	es
amor:Nom.Sg	3	m	Nom.Sg	539		amor											
amor:Abl.Pl	3	m	Abl.Pl	539	ibus	amōribus	ebos	es	es	es	es	es	es	es	es	es	es
amor:Dat.Sg	3	m	Dat.Sg	539	ī	amōrī	i	e	es	es	es	es	es	es	es	es	es
amor:Acc.Pl	3	m	Acc.Pl	539	ēs	amōrēs	es	es	es	es	es	es	es	es	es	es	es
amor:Gen.Sg	3	m	Gen.Sg	539	is	amōris	es	es	es	es	es	es	es	es	es	es	es
amor:Gen.Pl	3	m	Gen.Pl	539	um	amōrum	o	es	es	es	es	es	es	es	es	es	es
amor:Abl.Sg	3	m	Abl.Sg	539	e	amōre	e	e	e	e	e	e	e	e	e	e	e
amor:Nom.Pl	3	m	Nom.Pl	539	ēs	amōrēs	es	es	es	es	es	es	es	es	es	es	es
amor:Acc.Sg	3	m	Acc.Sg	539	em	amōrem	e	e	e	e	e	e	e	e	e	e	e
amor:Dat.Pl	3	m	Dat.Pl	539	ibus	amōribus	ebos	es	es	es	es	es	es	es	es	es	es
anima:Nom.Sg	1	f	Nom.Sg	182	a	anima	a	a	a	a	a	a	a	a	a	a	a
anima:Abl.Pl	1	f	Abl.Pl	182	īs	animīs	is	s	s	as	as	as	as	as	as	as	as
anima:Dat.Sg	1	f	Dat.Sg	182	ae	animae	e	e	es	es	es	es	es	es	es	es	es
anima:Acc.Pl	1	f	Acc.Pl	182	ās	animās	as	as	as	as	as	as	as	as	as	as	as
anima:Gen.Sg	1	f	Gen.Sg	182	ae	animae	e	e	e	e	es	es	es	es	es	es	es
anima:Gen.Pl	1	f	Gen.Pl	182	ārum	animārum	aro	es	es	es	es	es	es	es	es	es	es
anima:Abl.Sg	1	f	Abl.Sg	182	ā	animā	a	a	a	a	a	a	a	a	a	a	a
anima:Nom.Pl	1	f	Nom.Pl	182	ae	animae	e	as	as	as	as	as	as	as	as	as	as
anima:Acc.Sg	1	f	Acc.Sg	182	am	animam	a	a	a	a	a	a	a	a	a	a	a
anima:Dat.Pl	1	f	Dat.Pl	182	īs	animīs	is	s	es	es	es	es	es	es	es	es	es
animal:Nom.Sg	3	n	Nom.Sg	307		animal											
animal:Abl.Pl	3	n	Abl.Pl	307	ibus	animālibus	ebos	es	es	e	as	as	as	as	as	as	as
animal:Dat.Sg	3	n	Dat.Sg	307	ī	animālī	i	e	e	e	e	es	es	es	es	es	es
animal:Acc.Pl	3	n	Acc.Pl	307	ia	animālia	ea	a	a	a	as	as	as	as	as	as	as
animal:Gen.Sg	3	n	Gen.Sg	307	is	animālis	es	es	e	e	e	es	es	es	es	es	es
animal:Gen.Pl	3	n	Gen.Pl	307	ium	animālium	eo	as	as	e	es	es	es	es	es	es	es
animal:Abl.Sg	3	n	Abl.Sg	307	ī	animālī	i	e	e	e	e	e					
animal:Nom.Pl	3	n	Nom.Pl	307	ia	animālia	ea	a	a	a	as	as	as	as	as	as	as
animal:Acc.Sg	3	n	Acc.Sg	307		animal											
animal:Dat.Pl	3	n	Dat.Pl	307	ibus	animālibus	ebos	a	as	e	es	es	es	es	es	es	es
animus:Nom.Sg	2	m	Nom.Sg	2407	us	animus	os	o	o	o	o	o	o	o	o	o	o
animus:Abl.Pl	2	m	Abl.Pl	2407	īs	animīs	is	is	es	es	es	es	es	es	es	es	es
animus:Dat.Sg	2	m	Dat.Sg	2407	ō	animō	o	o		e	e	e				e	
animus:Acc.Pl	2	m	Acc.Pl	2407	ōs	animōs	os	s	s	s	s	es	es	es	es	es	es
animus:Gen.Sg	2	m	Gen.Sg	2407	ī	animī	i	i									
animus:Gen.Pl	2	m	Gen.Pl	2407	ōrum	animōrum	oro	s	es	es	es	es	es	es	es	es	es
animus:Abl.Sg	2	m	Abl.Sg	2407	ō	animō	o	o	o	o	o	o	o	o	o	o	o
animus:Nom.Pl	2	m	Nom.Pl	2407	ī	animī	i	s	s	s	s	s				e	es
animus:Acc.Sg	2	m	Acc.Sg	2407	um	animum	o	o	o	o	o	o	o	o	o	o	o
animus:Dat.Pl	2	m	Dat.Pl	2407	īs	animīs	is	es	es	es	es	es	es	es	es	es	es
annus:Nom.Sg	2	m	Nom.Sg	650	us	annus	os	os	o	o	o	o	o	o	o	o	o
annus:Abl.Pl	2	m	Abl.Pl	650	īs	annīs	is	is	is	es	es	es	es	es	es	es	es
annus:Dat.Sg	2	m	Dat.Sg	650	ō	annō	o	o			e	e	e				
annus:Acc.Pl	2	m	Acc.Pl	650	ōs	annōs	os	os	s	s	s	es	es	es	es	es	es
annus:Gen.Sg	2	m	Gen.Sg	650	ī	annī	i	is	s								
annus:Gen.Pl	2	m	Gen.Pl	650	ōrum	annōrum	oro	s	es	es	es	es	es	es	es	es	es
annus:Abl.Sg	2	m	Abl.Sg	650	ō	annō	o	o	o	o	o	o	o	o	o	o	o
annus:Nom.Pl	2	m	Nom.Pl	650	ī	annī	i	s	s	s	s	s				es	es
annus:Acc.Sg	2	m	Acc.Sg	650	um	annum	o	o	o	o	o	o	o	o	o	o	o
annus:Dat.Pl	2	m	Dat.Pl	650	īs	annīs	is	es	es	es	es	es	es	es	es	es	es
aqua:Nom.Sg	1	f	Nom.Sg	383	a	aqua	a	a	a	a	a	a	a	a	a	a	a
aqua:Abl.Pl	1	f	Abl.Pl	383	īs	aquīs	is	s	s	as	as	as	as	as	as	as	as
aqua:Dat.Sg	1	f	Dat.Sg	383	ae	aquae	e	e	es	es	es	es	es	es	es	es	es
aqua:Acc.Pl	1	f	Acc.Pl	383	ās	aquās	as	as	as	as	as	as	as	as	as	as	as
aqua:Gen.Sg	1	f	Gen.Sg	383	ae	aquae	e	e	es	e	es	es	es	es	es	es	es
aqua:Gen.Pl	1	f	Gen.Pl	383	ārum	aquārum	aro	es	es	es	es	es	es	es	es	es	es
aqua:Abl.Sg	1	f	Abl.Sg	383	ā	aquā	a	a	a	a	a	a	a	a	a	a	a
aqua:Nom.Pl	1	f	Nom.Pl	383	ae	aquae	e	as	as	as	as	as	as	as	as	as	as
aqua:Acc.Sg	1	f	Acc.Sg	383	am	aquam	a	a	a	a	a	a	a	a	a	a	a
aqua:Dat.Pl	1	f	Dat.Pl	383	īs	aquīs	is	s	es	es	es	es	es	es	es	es	es
ara:Nom.Sg	1	f	Nom.Sg	199	a	āra	a	a	a	a	a	a	a	a	a	a	a
