Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
ager:Gen.Sg	2	m	Gen.Sg	337	ī	agrī	i	i	o	e	e	e	e	e	e	ei	ei
ager:Gen.Pl	2	m	Gen.Pl	337	ōrum	agrōrum	oro	i	i	ei	ei	ei	ei	ei	ei	ei	ei
ager:Abl.Sg	2	m	Abl.Sg	337	ō	agrō	o	o	o	o	o	o	o	o	o	o	o
ager:Nom.Pl	2	m	Nom.Pl	337	ī	agrī	i	i	i	i	i	ai	ai	ai	ai	ai	ai
ager:Acc.Sg	2	m	Acc.Sg	337	um	agrum	o	o	o	o	o	o	o	o	o	o	o
ager:Dat.Pl	2	m	Dat.Pl	337	īs	agrīs	ī	i	i	ei	ei	ei	ei	ei	ei	ei	ei
agger:Nom.Sg	3	m	Nom.Sg	76		agger		e	e	e	e	e	e	e	e	e	e
agger:Abl.Pl	3	m	Abl.Pl	76	ibus	aggeribus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
agger:Dat.Sg	3	m	Dat.Sg	76	ī	aggerī	i	e	e	e	e	e	e	e	e	e	e
agger:Acc.Pl	3	m	Acc.Pl	76	ēs	aggerēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
agger:Gen.Sg	3	m	Gen.Sg	76	is	aggeris	ei	e	e	e	e	e	e	e	e	e	e
agger:Gen.Pl	3	m	Gen.Pl	76	um	aggerum	o	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
agger:Abl.Sg	3	m	Abl.Sg	76	e	aggere	e	e	e	e	e	e	e	e	e	e	e
agger:Nom.Pl	3	m	Nom.Pl	76	ēs	aggerēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
agger:Acc.Sg	3	m	Acc.Sg	76	em	aggerem	e	e	e	e	e	e	e	e	e	e	e
agger:Dat.Pl	3	m	Dat.Pl	76	ibus	aggeribus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
agmen:Nom.Sg	3	n	Nom.Sg	360		agmen			e	e	e	e	e	e	e	e	e
agmen:Abl.Pl	3	n	Abl.Pl	360	ibus	agminibus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
agmen:Dat.Sg	3	n	Dat.Sg	360	ī	agminī	i	e	e	e	e	e	e	e	e	e	e
agmen:Acc.Pl	3	n	Acc.Pl	360	a	agmina	a	a	e	e	ei	ei	ei	ei	ei	ei	ei
agmen:Gen.Sg	3	n	Gen.Sg	360	is	agminis	ei	e	e	e	e	e	e	e	e	e	e
agmen:Gen.Pl	3	n	Gen.Pl	360	um	agminum	o	e	e	ei	ei	ei	ei	ei	ei	ei	ei
agmen:Abl.Sg	3	n	Abl.Sg	360	e	agmine	e	e	e	e	e	e	e	e	e	e	e
agmen:Nom.Pl	3	n	Nom.Pl	360	a	agmina	a	a	ei	ei	ei	ei	ei	ei	ei	ei	ei
agmen:Acc.Sg	3	n	Acc.Sg	360		agmen			e	e	e	e	e	e	e	e	e
agmen:Dat.Pl	3	n	Dat.Pl	360	ibus	agminibus	eboi	e	e	e	ei	ei	ei	ei	ei	ei	ei
ala:Nom.Sg	1	f	Nom.Sg	73	a	āla	a	a	a	a	a	a	a	a	a	a	a
ala:Abl.Pl	1	f	Abl.Pl	73	īs	ālīs	ī	ei	ai	ai	ai	ai	ai	ai	ai	ai	ai
ala:Dat.Sg	1	f	Dat.Sg	73	ae	ālae	e	e	e	e	e	e	e	e	e	e	e
ala:Acc.Pl	1	f	Acc.Pl	73	ās	ālās	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai
ala:Gen.Sg	1	f	Gen.Sg	73	ae	ālae	e	e	e	e	e	e	e	e	e	e	e
ala:Gen.Pl	1	f	Gen.Pl	73	ārum	ālārum	aro	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
ala:Abl.Sg	1	f	Abl.Sg	73	ā	ālā	a	a	a	a	a	a	a	a	a	a	a
