Latin	LatGender	LatDec	nomsg	nompl	gensg	genpl	accsg	accpl	English	RomGender	RomSg	RomPl	OldRom	OldestRom	OrigLang	UnsureCog?	ChangedMean	SlWordt	SlavGender	SlNote	NewWord?	PageNo	LatinExist?	NounExist?	MultipleNouns?	Is Second Noun a homophone?	MaxFreq	MaxFreq10k	MinFreq	MinFreq10k
senior	mh	3	senior	seniōrēs	seniōris	seniōrum	seniōrem	seniōrēs	senior, old		-								m	(natural gender)		47152	Yes	No	No		483	7.779	53	0.854
sensus	m	4	sēnsus	sēnsūs	sēnsūs	sēnsuum	sēnsum	sēnsūs	observation	n	simț   	simțuri			l		sense	*čudlo, *čuvьstvo	n, n	both in the meaning 'sense'		215902	Yes	Yes	No		203	3.269	4	0.064
sententia	f	1	sententia	sententiae	sententiae	sententiārum	sententiam	sententiās	sentence	f	sentință	sentințe			f, l							933916	Yes	Yes	No		38	0.612	38	0.612
series	f	5	seriēs	seriēs	seriēī	seriērum	seriem	seriēs	series, row, chain	f	serie	serii			f, l		batch, series	*rędъ, *vьrsta	m, f			38454	Yes	Yes	No		?	?	?	?
sermo	m	3	sermō	sermōnēs	sermōnis	sermōnum	sermōnem	sermōnēs	discourse, talk		-							*govorъ, *besěda, *golgolъ	m, f, m			1100120	Yes	Yes	No		641	10.323	641	10.323
serpens	f	3	serpēns	serpentēs	serpentis	serpentum	serpentem	serpentēs	serpent	m	şarpe 	șerpi			l			*zmьjь, *zmьja, *gadъ, *ǫžь	m, f, m, m			261739	Yes	Yes	No		88	1.417	0	0
servus	mh	2	servus	servī	servī	servōrum	servum	servōs	slave	n	serv	servi			l			*orbъ	m	(natural gender)		6184	Yes	Yes	No		2,583	41.598	0	0
sexus	m	4	sexus	sexūs	sexūs	sexuum	sexum	sexūs	sex	n	sex	sexuri			f, l		gender	*polъ	m	literally 'half'		266198	Yes	Yes	No		17	0.274	17	0.274
siclus	m	2	siclus	siclī	siclī	siclōrum	siclum	siclōs	shekel	m, m	siclu, șechel	sicli, șecheli			f, l; f					no psl. word		2644972	Yes	Yes	No		?	?	?	?
signum	n	2	signum	signa	signī	signōrum	signum	signa	signal	n	semnal	semnale			f			*znakъ, *znamę	m, n			223545	Yes	Yes	No		321	5.17	147	2.367
silva	f	1	silva	silvae	silvae	silvārum	silvam	silvās	forest	f	selbă	selbe		sélba	l			*lesъ	m		*	48843	Yes	Yes	No		50	0.805	48	0.773
sinus	m	4	sinus	sinūs	sinūs	sinuum	sinum	sinūs	bosom, lap, hollow	m	sân	sâni	sîn	sin	l			*ědro; *pazduxa	n, f	bosom; bosom, armpit; 	*	187217	Yes	Yes	Yes		1,607	25.88	35	0.564
societas	f	3	societās	societātēs	societātis	societātum	societātem	societātēs	society	f	societate	societăți			f, l			*družina	f			1993824	Yes	Yes	No		23	0.37	23	0.37
socrus	fh	4	socrus	socrūs	socrūs	socruum	socrum	socrūs	mother-in-law	f	soacră	soacre			l			*svekry	f	(natural gender)		53402	Yes	Yes	No		29	0.467	11	0.177
sol	m	3	sōl	sōlēs	sōlis	sōlum	sōlem	sōlēs	sun	m	soare	sori			l			*sъlnьce	n			3902	Yes	Yes	No		1,516	24.415	79	1.272
solitudo	f	3	sōlitūdō	sōlitūdinēs	sōlitūdinis	sōlitūdinum	sōlitūdinem	sōlitūdinēs	loneliness	f	solitudine	solutidini			f, l					(abstract)		1604567	Yes	Yes	No		149	2.4	149	2.4
somnus	m	2	somnus	somnī	somnī	somnōrum	somnum	somnōs	sleep	n	somn	somnuri			s			*sъnъ	m			269980	Yes	Yes	No		61	0.982	35	0.564
sorex	m	3	sorex	sorices	soricis	soricum	soricem	sorices	mouse	m	șoarece	șoareci		shoarece	l			*myšь	f		*	2001162	Yes	Yes	No		?	?	?	?
soror	fh	3	soror	sorōrēs	sorōris	sorōrum	sorōrem	sorōrēs	sister	f	soră	surori			l			*sestra	f	(natural gender)		67781	Yes	Yes	No		131	2.11	121	1.949
species	f	5	speciēs	speciēs	speciēī	speciērum	speciem	speciēs	appearance	f	specie	specii			l		species	*vidъ	m			4327	Yes	Yes	No		102	1.643	40	0.644
speculum	n	2	speculum	specula	speculī	speculōrum	speculum	specula	mirror		-							*zьrkadlo	n	late word, probably calqued on the lat.		214396	Yes	Yes	No		15	0.242	3	0.048
specus	m	4	specus	specūs	specūs	specuum	specum	specūs	cave		-							*ama, *pektera	f, f			2690810	Yes	Yes	No		3	0.048	3	0.048
spina	f	1	spīna	spīnae	spīnae	spīnārum	spīnam	spīnās	thorn	m	spin	spini			l			*tьrnъ	m			276560	Yes	Yes	No		63	1.015	39	0.628
spiritus	m	4	spīritus	spīritūs	spīritūs	spīrituum	spīritum	spīritūs	breath	n	spirit	spirite			l, i		spirit	*dъxъ, *duxъ	m, m			327262	Yes	Yes	No		720	11.595	720	11.595
sporta	f	1	sporta	sportae	sportae	sportārum	sportam	sportās	basket		-							*košь	m			695826	Yes	Yes	No		6	0.097	6	0.097
stella	f	1	stēlla	stēllae	stēllae	stēllārum	stēllam	stēllās	star	f	stea	stele			l			*gvězda	f			47339	Yes	Yes	No		92	1.482	40	0.644
stomachus	m	2	stomachus	stomachī	stomachī	stomachōrum	stomachum	stomachōs	stomach	n	stomac	stomacuri			l			*žel¸odъkъ	m		*	2414399	Yes	Yes	No		4	0.064	4	0.064
substantia	f	1	substantia	substantiae	substantiae	substantiārum	substantiam	substantiās	resources	f	substanță	substanțe			f		substance			(abstract)		2122056	Yes	Yes	No		146	2.351	56	0.902
subula	f	1	sūbula	sūbulae	sūbulae	sūbulārum	sūbulam	sūbulās	awl		-							*šidlo	n			2067207	Yes	Yes	No		2	0.032	2	0.032
sucus	m	2	sūcus	sūcī	sūcī	sūcōrum	sūcum	sūcōs	juice	n	suc	sucuri			f, l			*sokъ	m			269989	Yes	Yes	No		?	?	?	?
sudor	m	3	sūdor	sūdōrēs	sūdōris	sūdōrum	sūdōrem	sūdōrēs	sweat	f	sudoare	sudori			l			*potъ	m		*	190351	Yes	Yes	No		8	0.129	2	0.032
summa	f	1	summa	summae	summae	summārum	summam	summās	top, summit	f	sumă	sume			l, p		amount, sum	*vьrxъ	m			74696	Yes	Yes	Yes		127	2.045	0	0
sycomorus	m	2	sycomorus	sycomorī	sycomorī	sycomorōrum	sycomorum	sycomorōs	sycamore	m	sicomore	sicomori			f			*(j)avorъ	m			2611198	Yes	Yes	No		?	?	?	?
talenta	n	2	-	talenta	-	talentōrum	-	talenta	talents (PL)	n	talent	talente			f, l							1914029	Yes	Yes	No		83	1.337	83	1.337
tectum	n	2	tēctum	tēcta	tēctī	tēctōrum	tēctum	tēcta	roof		-							*krovъ, *strěxa	m, f			223782	Yes	Yes	No		121	1.949	0	0
templum	n	2	templum	templa	templī	templōrum	templum	templa	temple	n	templu	temple			l, f					no word for 'temple' that could be considered psl.; churches were the first temples slavs had		47642	Yes	Yes	No		458	7.376	458	7.376
temptatio	f	3	temptatiō	temptatiōnēs	temptatiōnis	temptatiōnum	temptatiōnem	temptatiōnēs	attack		-							*napadъ	m	(abstract)		2593834	Yes	Yes	No		43	0.693	43	0.693
tempus	n	3	tempus	tempora	temporis	temporum	tempus	tempora	time	n	timp	timpuri			l			*vermę, *časъ, *pora, *rokъ, *doba	f, m, n, m, f	*časъ and *vermę are 'time' in general; *rokъ is 'specified time'; *pora is 'season'; *doba is roughly 'timespan'		59658	Yes	Yes	Yes		1,666	26.83	0	0
tenebrae	f	1	-	tenebrae	-	tenebrārum	-	tenebrās	darkness	f	tenebră	tenebre			f, l			*morkъ, *tьma	m, f			91437	Yes	Yes	No		202	3.253	130	2.094
tergum	n	2	tergum	terga	tergī	tergōrum	tergum	terga	the back		-							*tylъ, *zadъ, *zadja, *gъrbъ, *gъrba, *xrьbьtъ	m, m, f, m, m, m	the first three mean the 'back/rear' of anything, while *gъrbъ, *gъrba, *xrьbьtъ denote the 'back' of a human		542429	Yes	Yes	No		49	0.789	43	0.693
terminus	m	2	terminus	terminī	terminī	terminōrum	terminum	terminōs	a bounding, fixing of limits, establishing lines	f	terminație	terminații			l	*		*konьcь, *krajь	m, m			-1	No	No	No		?	?	?	?
terra	f	1	terra	terrae	terrae	terrārum	terram	terrās	earth	f	ţară	țări			l		country, land	*zemlja	f			47595	Yes	Yes	No		3,219	51.841	3,219	51.841
testa	f	1	testa	testae	testae	testārum	testam	testās	brick, tile													35142	Yes	Yes	No		131	2.11	11	0.177
thronus	m	2	thronus	thronī	thronī	thronōrum	thronum	thronōs	throne	n	tron	tronuri			f			*stolъ	m	table (ocs 'throne')		41365	Yes	Yes	No		92	1.482	92	1.482
tilia	f	1	tilia	tiliae	tiliae	tiliārum	tiliam	tiliās	lime-tree, linden-tree	m, n	tei	tei, teie		teiu	l			*lipa	f		*	547050	Yes	Yes	No		?	?	?	?
tinctus	m	2	tinctus	tinctī	tinctī	tinctōrum	tinctum	tinctōs	dipping, saffron-sauce	f	tinctură	tincturi			l		tincture					2657153	Yes	No	No		15	0.242	0	0
tonitrus	m	4	tonitrus	tonitrūs	tonitrūs	tonitruum	tonitrum	tonitrūs	thunder	n	tunet	tunete			l			*gromъ	m		*	2525893	Yes	Yes	No		14	0.225	14	0.225
torrens	f	3	torrēns	torrentēs	torrentis	torrentium	torrentim/torrentem*	torrentīs/torrentēs*	burning													2614306	Yes	Yes	No		244	3.93	0	0
torta	f	1	torta	tortai	tortai	tortārum	tortam	tortās	twisted, cord											(adjective?)		6262	Yes	No	No		20	0.322	0	0
trabs	f	3	trabs	trabēs	trabis	trabum	trabem	trabēs	beam, rafter	f	traversă	traverse			f			*gręda, *bolzina	f, f			2576081	Yes	Yes	No		12	0.193	12	0.193
tribunus	mh	2	tribūnus	tribūnī	tribūnī	tribūnōrum	tribūnum	tribūnōs	head of tribe	m	tribun	tribuni			l		roman times		m	(natural gender)		2414409	Yes	Yes	No		44	0.709	44	0.709
tribus	f	4	tribus	tribūs	tribūs	tribuum	tribum	tribūs	a third part of the people	n	trib	triburi			l		tribe	*plemę, *rodъ	n, m	both in the meaning 'tribe'		1002622	Yes	Yes	No		728	11.724	244	3.93
truncus	m	2	truncus	truncī	truncī	truncōrum	truncum	truncōs	trunk	n	trunchi	trunchiuri		trunc	l			*pьnь	m		*	2067548	Yes	Yes	No		13	0.209	0	0
tuba	f	1	tuba	tubae	tubae	tubārum	tubam	tubās	trumpet	f	trompetă	trompete			f		unsure if this is directly related to tuba?	*trǫba	f			3673	Yes	Yes	No		150	2.416	74	1.192
turba	f	1	turba	turbae	turbae	turbārum	turbam	turbās	crowd, tumult, turmoil		-											450638	Yes	Yes	No		333	5.363	87	1.401
turma	f	1	turma	turmae	turmae	turmārum	turmam	turmās	company, troop, crowd	f	turmă	turme			l		flock, herd (of sheep)	*pъlkъ, *ortь	m			1130233	Yes	Yes	No		57	0.918	57	0.918
turris	f	3	turris	turrēs	turris	turrium	turrim/turrem*	turrīs/turrēs*	tower	n	turn	turnuri			g							567921	Yes	Yes	No		77	1.24	77	1.24
turtur	m	3	turtur	turturēs	turturis	turturum	turturem	turturēs	turtle-dove	f	turturică 	turturici				*		*golǫbь	m			1120801	Yes	Yes	No		16	0.258	16	0.258
tussis	f	3	tussis	tussēs	tussis	tussium	tussim/tussem	tussīs/tussēs*	cough	f	tuse		tusă	tusse	l			*kaš(ь)ljь	m		*	1808358	Yes	Yes	No		?	?	?	?
tutela	f	1	tūtēla	tūtēlae	tūtēlae	tūtēlārum	tūtēlam	tūtēlās	protection	f	tutelă	tutele			f, l					(abstract)		570704	Yes	Yes	No		2	0.032	2	0.032
tyrannus	mh	2	tyrannus	tyrannī	tyrannī	tyrannōrum	tyrannum	tyrannōs	monarch, absolute ruler	m	tiran	tirani			grk, f		autocrat, oppressor, tyrant		m	(natural gender)		217140	Yes	Yes	No		19	0.306	16	0.258
umbra	f	1	umbra	umbrae	umbrae	umbrārum	umbram	umbrās	shadow	f	umbră 	umbre			l			*sěnь	f			61061	Yes	Yes	No		115	1.852	23	0.37
umerus	m	2	umerus	umerī	umerī	umerōrum	umerum	umerōs	shoulder	m	umăr	umeri		umer	l			*ormo; *ormȩ; *pletje	n, n, n		*	1360129	Yes	Yes	No		63	1.015	33	0.531
unctus	mh	2	unctus	unctī	unctī	unctōrus	unctum	unctōs	anointed, oiled	f	ungere	ungeri			?		unction	*mastь	f			2338820	Yes	No	No		47	0.757	0	0
unguis	m	3	unguis	unguēs	unguis	unguium	unguem	unguēs*/unguīs	nail	f	unghie	unghii			l			*nogъtь, *kopyto, *paznegъtь	m, ?, n	*nogъtь is a human nail, *kopyto and *paznegъtь are an animal's hoof (the original entry you had here, *gvozdъ, denotes a nail for hammering)		1123946	Yes	Yes	No		16	0.258	16	0.258
ungula	f	1	ungula	ungulae	ungulae	ungulārum	ungulam	ungulās	hoof, claw, talon	f	unghie	unghii			l	*	nail, claw, hoof	*kopyto, *paznegъtь, *nogъtь	m, f, m	*kopyto and *paznegъtь are 'hoof', *nogъtь is mostly human nail, but also claw		1515526	Yes	Yes	No		25	0.403	21	0.338
universum	n	2	ūniversum	ūniversa	ūniversī	ūniversōrum	ūniversum	ūniversa	universe	n	univers	universuri			f, l			*světъ, *mirъ	m, m	as in 'world' (i don't think there would have been a difference)		1557881	Yes	No	No		922	14.849	922	14.849
urbs	f	3	urbs	urbēs	urbis	urbium	urbem	urbēs*/urbīs	city	f	urbe	urbe?			l			*gordъ	m			38475	Yes	Yes	No		460	7.408	278	4.477
urceolus	m	2	urceolus	urceoli	urceoli	urceolōrum	urceolum	urceolos	small jug, pitcher	n	urcior	urcioare	urceor		l			*krina; *krinica	f, f	vessel, jug	*	2183066	Yes	Yes	No		?	?	?	?
uterus	m	2	uterus	uterī	uterī	uterōrum	uterum	uterōs	womb	n	uter	utere			l		uterus	*ložesno, *matъka, *mat(er)ica	n, f, f			42392	Yes	Yes	No		84	1.353	66	1.063
uva	f	1	ūva	ūvae	ūvae	ūvārum	ūvam	ūvās	grape		-							*grozdъ, *grozdьje	m, n	*grozdъ (m) 'grape', *grozdьje (n) collective sg. 'grapes'		28918	Yes	Yes	Yes		74	1.192	0	0
uxor	fh	3	uxor	uxōrēs	uxōris	uxōrum	uxōrem	uxōrēs	wife		-							*žena	f	(natural gender)		38512	Yes	Yes	No		545	8.777	507	8.165
vacca	f	1	vacca	vaccae	vaccae	vaccārum	vaccam	vaccās	cow	f	vacă	vaci			l			*korva	f			38502	Yes	Yes	No		38	0.612	11	0.177
vallis	f	3	vallis	vallēs	vallis	vallium	vallem	vallēs*/vallīs	valley	f	vale	văi			l			*dolina, *dъbrь	f, f			266254	Yes	Yes	Yes		192	3.092	14	0.225
vas	n	3	vās	vāsa	vāsis	vāsum	vās	vāsa	vessel, dish	n	vas	vase, vasuri			l		vessel, dish	*sǫdъ, *krin(ic)a	m, f			95443	Yes	Yes	Yes		342	5.508	248	3.994
vectis	m	3	vectis	vectēs	vectis	vectium	vectem	vectēs/vectīs	bar, lever		-							*drǫgъ	m			1376956	Yes	Yes	No		126	2.029	7	0.113
vector	m	3	vector	vectōrēs	vectōris	vectōrum	vectōrem	vectōrēs	passenger (?)											(abstract)		2916579	Yes	No	No		?	?	?	?
velum	n	2	vēlum	vēla	vēlī	vēlōrum	vēlum	vēla	sail	f	velă	vele			i			*ědro	n	meaning 'sail' not widespread, mostly ssl. early slavs did not use sails, so there was no psl. term. most sl. languages have loanwords here.		251362	Yes	Yes	No		48	0.773	30	0.483
vena	f	1	vēna	vēnae	vēnae	vēnārum	vēnam	vēnās	vein	f	vână	vine			l			*žila	f		*	215945	Yes	Yes	No		18	0.29	10	0.161
venenum	n	2	venēnum	venēna	venēnī	venēnōrum	venēnum	venēna	venom	n	venin	veninuri			l			*ědъ; *čemerъ	m, m	*čemerъ = hellebore, poison	*	40815	Yes	Yes	No		10	0.161	4	0.064
venter	m	3	venter	ventrēs	ventris	ventrium	ventrem	ventrēs	belly	n	vintru?	vintre			l		groin	*brjuxo, *brjuxъ, *tьrbuxъ	n, m, m			790223	Yes	Yes	No		103	1.659	59	0.95
ventus	m	2	ventus	ventī	ventī	ventōrum	ventum	ventōs	wind	n	vânt	vânturi			l			*větrъ	m			28929	Yes	Yes	No		?	?	?	?
verbum	n	2	verbum	verba	verbī	verbōrum	verbum	verba	word	n, f	verb; vorbă	verbe, vorbe			f, l; s?		verb; speech	*rěčь, *slovo, *golgolъ	f, n, m			38600	Yes	Yes	No		1,204	19.39	1,204	19.39
vermis	m	3	vermis	vermēs	vermis	vermium	vermem	vermēs*/vermīs	worm	m	vierme	viermi			l			*čьrvь	m			38646	Yes	Yes	No		23	0.37	23	0.37
verna	m	1	verna	vernae	vernae	vernārum	vernam	vernās	house servant, family slave		-											1662440	Yes	Yes	No		?	?	?	?
versus	m	4	versus	versūs	versūs	versuum	versum	versūs	line, row	n	vers	versuri			f, l		line in a poem	*rędъ, *vьrsta	m, f			73725	Yes	Yes	No		68	1.095	2	0.032
verum	n	2	vērum	vēra	vērī	vērōrum	vērum	vēra	true											(abstract / adjective??)		563648	Yes	Yes	Yes		117	1.884	0	0
vesica	f	1	vēsīca	vēsīcae	vēsīcae	vēsīcārum	vēsīcam	vēsīcās	balloon, bladder	f	bășică	bășici	beșică	beʃica	l				?		*	181308	Yes	Yes	No		2	0.032	2	0.032
vesper	m	2	vesper	vesperī	vesperī	vesperōrum	vesperum	vesperōs	evening-star	n	vest				g		west	*veče(rъ)	m/n			385045	Yes	Yes	No		?	?	?	?
vestimentum	n	2	vestīmentum	vestīmenta	vestīmentī	vestīmentōrum	vestīmentum	vestīmenta	clothing	n	veșmânt	veșminte			l		garment	*drabъ, *odědja	m, f			2073872	Yes	Yes	No		231	3.72	231	3.72
vestis	f	3	vestis	vestēs	vestis	vestium	vestem	vestēs	clothing	n	veșmânt	veșminte					garment	*drabъ, *odědja	m, f			1231004	Yes	Yes	No		129	2.078	127	2.045
vexillum	n	2	vexillum	vexilla	vexillī	vexillōrum	vexillum	vexilla	standard, banner, flag		-							*znamę, *xorǫgy	m, f			210553	Yes	Yes	No		2	0.032	2	0.032
via	f	1	via	viae	viae	viārum	viam	viās	highway, road, path, street		-							*cěsta, *dorga, *ulica	f, f, f			38602	Yes	Yes	No		900	14.494	900	14.494
vicinia	f	1	vīcīnia	vīcīniae	vīcīniae	vīcīniārum	vīcīniam	vīcīniās	neighborhood	f	vecinătate	vecinătăți			l							2919406	Yes	Yes	No		?	?	?	?
vicinus	mh	2	vīcīnus	vīcīnī	vīcīnī	vīcīnōrum	vīcīnum	vīcīnōs	neighbor	m	vecin	vecini			l				m	(natural gender)		934572	Yes	Yes	No		41	0.66	41	0.66
victor	mh	3	victor	victōrēs	victōris	victōrum	victōrem	victōrēs	victor, conqueror		-								m	(natural gender)		69126	Yes	Yes	No		12	0.193	0	0
victoria	f	1	victōria	victōriae	victōriae	victōriārum	victōriam	victōriās	victory	f	victorie	victorii			l					(abstract)		175446	Yes	Yes	No		27	0.435	27	0.435
villa	f	1	vīlla	vīllae	vīllae	vīllārum	vīllam	vīllās	town		-							*gordъ	m			72488	Yes	Yes	No		64	1.031	43	0.693
vinea	f	1	vīnea	vīneae	vīneae	vīneārum	vīneam	vīneās	vineyard	f	vie	vii			l			*vinogordъ	m			924458	Yes	Yes	No		326	5.25	0	0
vinum	n	2	vīnum	vīna	vīnī	vīnōrum	vīnum	vīna	wine	n	vin	vinuri			l			*vino	n			38604	Yes	Yes	No		239	3.849	239	3.849
vipera	f	1	vīpera	vīperae	vīperae	vīperārum	vīperam	vīperās	viper	f	viperă	vipere			l							43133	Yes	Yes	No		7	0.113	7	0.113
vir	mh	2	vir	virī	virī	virōrum	virum	virōs	man		-							*mǫžь	m	(natural gender)		38605	Yes	Yes	No		?	?	?	?
virga	f	1	virga	virgae	virgae	virgārum	virgam	virgās	twig, sprout	f	vargă	vergi			l			*věja, *větvь, *orslь	f, f, f			292130	Yes	Yes	Yes		116	1.868	116	1.868
virgo	fh	3	virgō	virginēs	virginis	virginum	virginem	virginēs	virgin	f	virgină	virgine			l		virgin	*děva, *děvica	f, f	(natural gender)		38606	Yes	Yes	No		81	1.304	81	1.304
vis	f	3	vīs	vīrēs	vīs	vīrium	vim	vīrēs	force, strength		-							*sila	f			61080	Yes	Yes	No		219	3.527	53	0.854
visio	f	3	vīsiō	vīsiōnēs	vīsiōnis	vīsiōnum	vīsiōnem	vīsiōnēs	vision, act of seeing	f	viziune	viziuni			f			*mьčьtъ, *zorkъ	m, m			69166	Yes	Yes	No		98	1.578	54	0.87
vita	f	1	vīta	vītae	vītae	vītārum	vītam	vītās	life	f	viaţă  	vieți			l			*životъ	m			38461	Yes	Yes	No		?	?	?	?
vitis	f	3	vītis	vītēs	vītis	vītium	vītem	vītēs/vītīs	vine	f	viță	vițe		vitia	l			*loza	f		*	1395847	Yes	Yes	Yes		25	0.403	17	0.274
voluntas	f	3	voluntās	voluntātēs	voluntātis	voluntātum	voluntātem	voluntātēs	will	f	vointă   	vointe					voliiton, will	*volja	f			1221489	Yes	Yes	No		175	2.818	175	2.818
volutus	m	4	volutus	volutus	volutus	volutūm	volutum	volutus	whirlpool, vortex, rolling; summit, top	f	vâltoare	vâltori			l		whirlpool, vortex	*virъ, *vьrxъ	m, m	*virъ 'whirlpool', *vьrxъ 'top, upper part'		3330467	Yes	No	No		?	?	?	?
vota	n	2	-	vota	-	votōrum	-	vota	vow	n	vot	voturi			f		vote	*obětъ, *prisęga, *klętva, *sъljubъ	m, f, f, m	all singular		453629	Yes	Yes	No		171	2.754	0	0
vox	f	3	vōx	vōcēs	vōcis	vōcum	vōcem	vōcēs	voice	f	voce	voci			l			*golsъ	m			179690	Yes	Yes	No		999	16.089	309	4.976
vulgus	n	2	vulgus	-	vulgī	-	vulgus	-	people		-							*narodъ	m			472467	Yes	Yes	No		?	?	?	?
vulnus	n	3	vulnus	vulnera	vulneris	vulnerum	vulnus	vulnera	wound		-							*ězva, *rana	f, f			38500	Yes	Yes	No		48	0.773	26	0.419
vulpes	f	3	vulpēs	vulpēs	vulpis	vulpium	vulpem	vulpēs*/vulpīs	fox	f	vulpe	vulpi			l			*lisa, *lisъ	f, m			38226	Yes	Yes	No		?	?	?	?
vultus	m	4	vultus	vultūs	vultūs	vultuum	vultum	vultūs	face		-							*lice	n			1010764	Yes	Yes	No		105	1.691	105	1.691
vulva	f	1	vulva	vulvae	vulvae	vulvārum	vulvam	vulvās	womb	f	vulvă	vulve			f, l		vulva					87886	Yes	Yes	Yes		?	?	?	?
zona	f	1	zōna	zōnae	zōnae	zōnārum	zōnam	zōnās	zone	f	zonă	zone			f							38772	Yes	Yes	No		20	0.322	6	0.097
