Word	Declension	Gender	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
ala:Dat.Pl	1	f	73	ālīs	īs	ies	ae	aeu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
altum:Nom.Sg	2	n	96	altum	um	um	um	um	um	um	um	um	um	um	um
altum:Abl.Pl	2	n	96	altīs	īs	ī	ie	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
altum:Dat.Sg	2	n	96	altō	ō	ē	oe	ō	ō	ō	ō	ō	ō	ō	ō
altum:Acc.Pl	2	n	96	alta	a	a	a	a	a	a	a	a	e	e	e
altum:Gen.Sg	2	n	96	altī	ī	ue	oe	ō	ō	ō	ō	ō	ō	ō	ō
altum:Gen.Pl	2	n	96	altōrum	ōrum	ōrum	ie	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
altum:Abl.Sg	2	n	96	altō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
altum:Nom.Pl	2	n	96	alta	a	a	a	a	a	a	a	a	e	e	e
altum:Acc.Sg	2	n	96	altum	um	um	um	um	um	um	um	um	um	um	um
altum:Dat.Pl	2	n	96	altīs	īs	īs	ie	ē	ieu	ieu	ieu	ieu	ieu	ieu	ieu
amica:Nom.Sg	1	f	564	amīca	a	a	a	a	a	a	a	a	a	a	a
amica:Abl.Pl	1	f	564	amīcīs	īs	ī	aeu	aeu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
amica:Dat.Sg	1	f	564	amīcae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae
amica:Acc.Pl	1	f	564	amīcās	ās	aes	aes	aes	aes	aes	aes	aes	aes	aes	aes
amica:Gen.Sg	1	f	564	amīcae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae
amica:Gen.Pl	1	f	564	amīcārum	ārum	aerum	ae	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
amica:Abl.Sg	1	f	564	amīcā	ā	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae
amica:Nom.Pl	1	f	564	amīcae	ae	aes	aes	aes	aes	aes	aes	aes	aes	aes	aes
amica:Acc.Sg	1	f	564	amīcam	am	am	am	am	am	am	am	am	am	am	am
amica:Dat.Pl	1	f	564	amīcīs	īs	aes	ae	ae	ieu	ieu	ieu	ieu	ieu	ieu	ieu
amicus:Nom.Sg	2	m	564	amīcus	us	u	u	u	u	um	um	um	um	um	um
amicus:Abl.Pl	2	m	564	amīcīs	īs	īs	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
amicus:Dat.Sg	2	m	564	amīcō	ō	ē	oe	ō	ō	ō	ō	ō	ō	ō	ō
amicus:Acc.Pl	2	m	564	amīcōs	ōs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amicus:Gen.Sg	2	m	564	amīcī	ī	ui	ō	ō	ō	ō	ō	ō	ō	ō	ō
amicus:Gen.Pl	2	m	564	amīcōrum	ōrum	ōrum	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
amicus:Abl.Sg	2	m	564	amīcō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
amicus:Nom.Pl	2	m	564	amīcī	ī	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amicus:Acc.Sg	2	m	564	amīcum	um	um	um	um	um	um	um	um	um	um	um
amicus:Dat.Pl	2	m	564	amīcīs	īs	īs	ie	ē	ieu	ieu	ieu	ieu	ieu	ieu	ieu
amnis:Nom.Sg	3	m	244	amnis	is					e	e	e	e	e	e
amnis:Abl.Pl	3	m	244	amnibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
amnis:Dat.Sg	3	m	244	amnī	ī	e	e	e	e	e	e	e	e	e	e
amnis:Acc.Pl	3	m	244	amnēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amnis:Gen.Sg	3	m	244	amnis	is	is	is	e	e	e	e	e	e	e	e
amnis:Gen.Pl	3	m	244	amnium	ium	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
amnis:Abl.Sg	3	m	244	amne	e	e	e	e	e	e	e	e	e	e	e
amnis:Nom.Pl	3	m	244	amnēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amnis:Acc.Sg	3	m	244	amnem	em	em	em	em	em	em	em	em	em	em	em
amnis:Dat.Pl	3	m	244	amnibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
amor:Nom.Sg	3	m	539	amor						e	e	e	e	e	e
amor:Abl.Pl	3	m	539	amōribus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
amor:Dat.Sg	3	m	539	amōrī	ī	e	e	e	e	e	e	e	e	e	e
amor:Acc.Pl	3	m	539	amōrēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amor:Gen.Sg	3	m	539	amōris	is	is	is	e	e	e	e	e	e	e	e
amor:Gen.Pl	3	m	539	amōrum	um	i	iu	iu	iu	iu	iu	iu	iu	iu	iu
amor:Abl.Sg	3	m	539	amōre	e	e	e	e	e	e	e	e	e	e	e
amor:Nom.Pl	3	m	539	amōrēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amor:Acc.Sg	3	m	539	amōrem	em	em	em	em	em	em	em	em	em	em	em
amor:Dat.Pl	3	m	539	amōribus	ibus	i	iu	iu	iu	iu	iu	iu	iu	iu	iu
anima:Nom.Sg	1	f	182	anima	a	a	a	a	a	a	a	a	a	a	a
anima:Abl.Pl	1	f	182	animīs	īs	ī	ae	aeu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
anima:Dat.Sg	1	f	182	animae	ae	ae	ae	ae	ae	ae	ao	ae	ae	ae	ae
anima:Acc.Pl	1	f	182	animās	ās	aes	aes	aes	aes	aes	aes	aes	aes	aes	aes
anima:Gen.Sg	1	f	182	animae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae
anima:Gen.Pl	1	f	182	animārum	ārum	aerum	ae	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
anima:Abl.Sg	1	f	182	animā	ā	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae
anima:Nom.Pl	1	f	182	animae	ae	aes	aes	aes	aes	aes	aes	aes	aes	aes	aes
anima:Acc.Sg	1	f	182	animam	am	am	am	am	am	am	am	am	am	am	am
anima:Dat.Pl	1	f	182	animīs	īs	aes	ae	ae	ieu	ieu	ieu	ieu	ieu	ieu	ieu
animal:Nom.Sg	3	n	307	animal						e	e	e	e	e	e
animal:Abl.Pl	3	n	307	animālibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
animal:Dat.Sg	3	n	307	animālī	ī	e	e	e	e	e	e	e	e	e	e
animal:Acc.Pl	3	n	307	animālia	ia	a	a	a	a	a	a	e	e	e	e
animal:Gen.Sg	3	n	307	animālis	is	i	e	e	e	e	e	e	e	e	e
animal:Gen.Pl	3	n	307	animālium	ium	i	iu	iu	iu	iu	iu	iu	iu	iu	iu
animal:Abl.Sg	3	n	307	animālī	ī	e	e	e	e	e	e	e	e	e	e
animal:Nom.Pl	3	n	307	animālia	ia	a	a	a	a	a	a	e	e	e	e
animal:Acc.Sg	3	n	307	animal						e	e	e	e	e	e
animal:Dat.Pl	3	n	307	animālibus	ibus	i	iu	i	iu	iu	iu	iu	iu	iu	iu
animus:Nom.Sg	2	m	2407	animus	us	u	u	u	u	um	um	um	um	um	um
animus:Abl.Pl	2	m	2407	animīs	īs	īs	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
animus:Dat.Sg	2	m	2407	animō	ō	ē	oe	ō	ō	ō	ō	ō	ō	ō	ō
animus:Acc.Pl	2	m	2407	animōs	ōs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
animus:Gen.Sg	2	m	2407	animī	ī	ū	ō	ō	ō	ō	ō	ō	ō	ō	ō
animus:Gen.Pl	2	m	2407	animōrum	ōrum	ōrum	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
animus:Abl.Sg	2	m	2407	animō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
animus:Nom.Pl	2	m	2407	animī	ī	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
animus:Acc.Sg	2	m	2407	animum	um	um	um	um	um	um	um	um	um	um	um
animus:Dat.Pl	2	m	2407	animīs	īs	īs	ie	ē	ieu	ieu	ieu	ieu	ieu	ieu	ieu
annus:Nom.Sg	2	m	650	annus	us	u	u	u	u	u	um	um	um	um	um
annus:Abl.Pl	2	m	650	annīs	īs	īs	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
annus:Dat.Sg	2	m	650	annō	ō	ē	oe	ō	ō	ō	ō	ō	ō	ō	ō
annus:Acc.Pl	2	m	650	annōs	ōs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
annus:Gen.Sg	2	m	650	annī	ī	ue	ō	ō	ō	ō	ō	ō	ō	ō	ō
annus:Gen.Pl	2	m	650	annōrum	ōrum	ōrum	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
annus:Abl.Sg	2	m	650	annō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
annus:Nom.Pl	2	m	650	annī	ī	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
annus:Acc.Sg	2	m	650	annum	um	um	um	um	um	um	um	um	um	um	um
annus:Dat.Pl	2	m	650	annīs	īs	īs	ie	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
aqua:Nom.Sg	1	f	383	aqua	a	a	a	a	a	a	a	a	a	a	a
aqua:Abl.Pl	1	f	383	aquīs	īs	ī	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
aqua:Dat.Sg	1	f	383	aquae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae
aqua:Acc.Pl	1	f	383	aquās	ās	aes	aes	aes	aes	aes	aes	aes	aes	aes	aes
aqua:Gen.Sg	1	f	383	aquae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae
aqua:Gen.Pl	1	f	383	aquārum	ārum	aerum	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
aqua:Abl.Sg	1	f	383	aquā	ā	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae
aqua:Nom.Pl	1	f	383	aquae	ae	aes	aes	aes	aes	aes	aes	aes	aes	aes	aes
aqua:Acc.Sg	1	f	383	aquam	am	am	am	am	am	am	am	am	am	am	am
aqua:Dat.Pl	1	f	383	aquīs	īs	ies	ae	aeu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
