Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
167	altum:Abl.Sg	2	n	Abl.Sg	Abl	Sg	96	ō	altō	u	u	u	u	u	u	u	u	u	u	u
168	altum:Nom.Pl	2	n	Nom.Pl	Nom	Pl	96	a	alta	a								u	u	u
169	altum:Acc.Sg	2	n	Acc.Sg	Acc	Sg	96	um	altum	u	u	u	u	u	u	u	u	u	u	u
170	altum:Dat.Pl	2	n	Dat.Pl	Dat	Pl	96	īs	altīs	i	i	i	i	i	i	i	i	i	i	i
171	amica:Nom.Sg	1	f	Nom.Sg	Nom	Sg	564	a	amīca	a	a	a	a	a	a	a	a	a	a	a
172	amica:Abl.Pl	1	f	Abl.Pl	Abl	Pl	564	īs	amīcīs	i	i	i	i	i	i	i	i	i	i	i
173	amica:Dat.Sg	1	f	Dat.Sg	Dat	Sg	564	ae	amīcae	ea	e	i	i	i	i	i	i	i	i	i
174	amica:Acc.Pl	1	f	Acc.Pl	Acc	Pl	564	ās	amīcās	e	i	i	i	i	i	i	i	i	i	i
175	amica:Gen.Sg	1	f	Gen.Sg	Gen	Sg	564	ae	amīcae	ea	e	i	i	i	i	i	i	i	i	i
176	amica:Gen.Pl	1	f	Gen.Pl	Gen	Pl	564	ārum	amīcārum	aru	ear	i	i	i	i	i	i	i	i	i
177	amica:Abl.Sg	1	f	Abl.Sg	Abl	Sg	564	ā	amīcā	a	a	a	a	a	a	a	a	a	a	a
178	amica:Nom.Pl	1	f	Nom.Pl	Nom	Pl	564	ae	amīcae	ea	e	i	i	i	i	i	i	i	i	i
179	amica:Acc.Sg	1	f	Acc.Sg	Acc	Sg	564	am	amīcam	a	a	a	a	a	a	a	a	a	a	a
180	amica:Dat.Pl	1	f	Dat.Pl	Dat	Pl	564	īs	amīcīs	i	i	i	i	i	i	i	i	i	i	i
181	amicus:Nom.Sg	2	m	Nom.Sg	Nom	Sg	564	us	amīcus	ui	u	u	u	u	u	u	u	u	u	u
182	amicus:Abl.Pl	2	m	Abl.Pl	Abl	Pl	564	īs	amīcīs	i	i	i						u	u	u
183	amicus:Dat.Sg	2	m	Dat.Sg	Dat	Sg	564	ō	amīcō	u	u							i	u	u
184	amicus:Acc.Pl	2	m	Acc.Pl	Acc	Pl	564	ōs	amīcōs	ui								u	u	u
185	amicus:Gen.Sg	2	m	Gen.Sg	Gen	Sg	564	ī	amīcī	i	i	i						u	u	u
186	amicus:Gen.Pl	2	m	Gen.Pl	Gen	Pl	564	ōrum	amīcōrum	oru	i	i	i	i	i	i	i	i	i	i
187	amicus:Abl.Sg	2	m	Abl.Sg	Abl	Sg	564	ō	amīcō	u	u	u	u	u	u	u	u	u	u	u
188	amicus:Nom.Pl	2	m	Nom.Pl	Nom	Pl	564	ī	amīcī	i		i						u	u	u
189	amicus:Acc.Sg	2	m	Acc.Sg	Acc	Sg	564	um	amīcum	u	u	u	u	u	u	u	u	u	u	u
190	amicus:Dat.Pl	2	m	Dat.Pl	Dat	Pl	564	īs	amīcīs	i	i	i	i	i	i	i	i	i	i	i
191	amnis:Nom.Sg	3	m	Nom.Sg	Nom	Sg	244	is	amnis	i										
