Word	Declension	Gender	TotFreq	Declined	0	1
arma:Gen.Pl	2	n	864	armōrum	ōrum	ū
arma:Abl.Sg	2	n	864			e
arma:Nom.Pl	2	n	864	arma	a	ē
arma:Acc.Sg	2	n	864			um
arma:Dat.Pl	2	n	864	armīs	īs	ē
armentum:Nom.Sg	2	n	56	armentum	um	um
armentum:Abl.Pl	2	n	56	armentīs	īs	ū
armentum:Dat.Sg	2	n	56	armentō	ō	ō
armentum:Acc.Pl	2	n	56	armenta	a	ē
armentum:Gen.Sg	2	n	56	armentī	ī	ū
armentum:Gen.Pl	2	n	56	armentōrum	ōrum	ū
armentum:Abl.Sg	2	n	56	armentō	ō	ō
armentum:Nom.Pl	2	n	56	armenta	a	ō
armentum:Acc.Sg	2	n	56	armentum	um	um
armentum:Dat.Pl	2	n	56	armentīs	īs	ē
ars:Nom.Sg	3	f	446	ars		e
ars:Abl.Pl	3	f	446	artibus	ibus	ibus
ars:Dat.Sg	3	f	446	artī	ī	e
ars:Acc.Pl	3	f	446	artēs	ēs	a
ars:Gen.Sg	3	f	446	artis	is	e
ars:Gen.Pl	3	f	446	artium	ium	ibus
ars:Abl.Sg	3	f	446	arte	e	e
ars:Nom.Pl	3	f	446	artēs	ēs	e
ars:Acc.Sg	3	f	446	artem	em	em
ars:Dat.Pl	3	f	446	artibus	ibus	ibus
artifex:Nom.Sg	3	m	70	artifex		e
artifex:Abl.Pl	3	m	70	artificibus	ibus	ibus
artifex:Dat.Sg	3	m	70	artificī	ī	e
artifex:Acc.Pl	3	m	70	artificēs	ēs	a
artifex:Gen.Sg	3	m	70	artificis	is	e
artifex:Gen.Pl	3	m	70	artificum	um	ibus
artifex:Abl.Sg	3	m	70	artifice	e	e
artifex:Nom.Pl	3	m	70	artificēs	ēs	e
artifex:Acc.Sg	3	m	70	artificem	em	em
artifex:Dat.Pl	3	m	70	artificibus	ibus	ibus
artus:Nom.Sg	4	m	106	artus	us	us
artus:Abl.Pl	4	m	106	artubus	ubus	ubus
artus:Dat.Sg	4	m	106	artuī	uī	ū
artus:Acc.Pl	4	m	106	artūs	ūs	ō
artus:Gen.Sg	4	m	106	artūs	ūs	ū
artus:Gen.Pl	4	m	106	artuum	uum	ubus
artus:Abl.Sg	4	m	106	artū	ū	ū
artus:Nom.Pl	4	m	106	artūs	ūs	ū
artus:Acc.Sg	4	m	106	artum	um	um
artus:Dat.Pl	4	m	106	artubus	ubus	ubus
arvum:Nom.Sg	2	n	113	arvum	um	um
arvum:Abl.Pl	2	n	113	arvīs	īs	ū
arvum:Dat.Sg	2	n	113	arvō	ō	ō
arvum:Acc.Pl	2	n	113	arva	a	ē
arvum:Gen.Sg	2	n	113	arvī	ī	ō
arvum:Gen.Pl	2	n	113	arvōrum	ōrum	ū
arvum:Abl.Sg	2	n	113	arvō	ō	ō
arvum:Nom.Pl	2	n	113	arva	a	ō
arvum:Acc.Sg	2	n	113	arvum	um	um
arvum:Dat.Pl	2	n	113	arvīs	īs	ē
arx:Nom.Sg	3	f	147	arx		e
arx:Abl.Pl	3	f	147	arcibus	ibus	ibus
arx:Dat.Sg	3	f	147	arcī	ī	e
arx:Acc.Pl	3	f	147	arcēs	ēs	a
arx:Gen.Sg	3	f	147	arcis	is	e
arx:Gen.Pl	3	f	147	arcium	um	ibus
arx:Abl.Sg	3	f	147	arce	e	e
arx:Nom.Pl	3	f	147	arcēs	ēs	e
arx:Acc.Sg	3	f	147	arcem	em	em
arx:Dat.Pl	3	f	147	arcibus	ibus	ibus
aspectus:Nom.Sg	4	m	76	aspectus	us	us
aspectus:Abl.Pl	4	m	76	aspectibus	ibus	ubus
aspectus:Dat.Sg	4	m	76	aspectuī	uī	ū
aspectus:Acc.Pl	4	m	76	aspectūs	ūs	ō
aspectus:Gen.Sg	4	m	76	aspectūs	ūs	ū
aspectus:Gen.Pl	4	m	76	aspectuum	uum	us
aspectus:Abl.Sg	4	m	76	aspectū	ū	ū
aspectus:Nom.Pl	4	m	76	aspectūs	ūs	ū
aspectus:Acc.Sg	4	m	76	aspectum	um	um
aspectus:Dat.Pl	4	m	76	aspectibus	ibus	ubus
astrum:Nom.Sg	2	n	103	astrum	um	um
astrum:Abl.Pl	2	n	103	astrīs	īs	ū
astrum:Dat.Sg	2	n	103	astrō	ō	ō
astrum:Acc.Pl	2	n	103	astra	a	ē
astrum:Gen.Sg	2	n	103	astrī	ī	ō
astrum:Gen.Pl	2	n	103	astrōrum	ōrum	ū
astrum:Abl.Sg	2	n	103	astrō	ō	ō
astrum:Nom.Pl	2	n	103	astra	a	ō
astrum:Acc.Sg	2	n	103	astrum	um	um
astrum:Dat.Pl	2	n	103	astrīs	īs	ē
auctor:Nom.Sg	3	m	248	auctor		e
auctor:Abl.Pl	3	m	248	auctōribus	ibus	ibus
auctor:Dat.Sg	3	m	248	auctōrī	ī	e
auctor:Acc.Pl	3	m	248	auctōrēs	ēs	a
auctor:Gen.Sg	3	m	248	auctōris	is	e
auctor:Gen.Pl	3	m	248	auctōrum	um	ibus
auctor:Abl.Sg	3	m	248	auctōre	e	e
auctor:Nom.Pl	3	m	248	auctōrēs	ēs	e
auctor:Acc.Sg	3	m	248	auctōrem	em	em
auctor:Dat.Pl	3	m	248	auctōribus	ibus	ibus
aura:Nom.Sg	1	f	159	aura	a	a
aura:Abl.Pl	1	f	159	aurīs	īs	ae
aura:Dat.Sg	1	f	159	aurae	ae	ae
aura:Acc.Pl	1	f	159	aurās	ās	ā
aura:Gen.Sg	1	f	159	aurae	ae	ae
aura:Gen.Pl	1	f	159	aurārum	ārum	ae
aura:Abl.Sg	1	f	159	aurā	ā	a
aura:Nom.Pl	1	f	159	aurae	ae	ā
aura:Acc.Sg	1	f	159	auram	am	am
aura:Dat.Pl	1	f	159	aurīs	īs	ae
auris:Nom.Sg	3	f	275	auris	is	e
auris:Abl.Pl	3	f	275	auribus	ibus	ibus
auris:Dat.Sg	3	f	275	aurī	ī	e
auris:Acc.Pl	3	f	275	aurēs	ēs	a
auris:Gen.Sg	3	f	275	auris	is	e
auris:Gen.Pl	3	f	275	aurium	ium	ibus
auris:Abl.Sg	3	f	275	aure	e	e
auris:Nom.Pl	3	f	275	aurēs	ēs	e
auris:Acc.Sg	3	f	275	aurem	em	em
auris:Dat.Pl	3	f	275	auribus	ibus	ibus
aurum:Nom.Sg	2	n	300	aurum	um	um
aurum:Abl.Pl	2	n	300	aurīs	īs	ū
aurum:Dat.Sg	2	n	300	aurō	ō	ō
aurum:Acc.Pl	2	n	300	aura	a	ē
aurum:Gen.Sg	2	n	300	aurī	ī	ō
aurum:Gen.Pl	2	n	300	aurōrum	ōrum	ū
aurum:Abl.Sg	2	n	300	aurō	ō	ō
aurum:Nom.Pl	2	n	300	aura	a	ō
aurum:Acc.Sg	2	n	300	aurum	um	um
aurum:Dat.Pl	2	n	300	aurīs	īs	ē
auxilium:Nom.Sg	2	n	278	auxilium	um	um
auxilium:Abl.Pl	2	n	278	auxiliīs	īs	ū
auxilium:Dat.Sg	2	n	278	auxiliō	ō	ō
auxilium:Acc.Pl	2	n	278	auxilia	a	ē
auxilium:Gen.Sg	2	n	278	auxiliī	ī	ō
auxilium:Gen.Pl	2	n	278	auxiliōrum	ōrum	ū
auxilium:Abl.Sg	2	n	278	auxiliō	ō	ō
auxilium:Nom.Pl	2	n	278	auxilia	a	ō
auxilium:Acc.Sg	2	n	278	auxilium	um	um
auxilium:Dat.Pl	2	n	278	auxiliīs	īs	ō
avis:Nom.Sg	3	f	94	avis	is	e
avis:Abl.Pl	3	f	94	avibus	ibus	ibus
avis:Dat.Sg	3	f	94	avī	ī	e
avis:Acc.Pl	3	f	94	avēs	ēs	a
avis:Gen.Sg	3	f	94	avis	is	e
avis:Gen.Pl	3	f	94	avium	ium	e
avis:Abl.Sg	3	f	94	ave	e	e
avis:Nom.Pl	3	f	94	avēs	ēs	e
avis:Acc.Sg	3	f	94	avem	em	em
avis:Dat.Pl	3	f	94	avibus	ibus	e
avus:Nom.Sg	2	m	91	avus	us	um
avus:Abl.Pl	2	m	91	avīs	īs	ō
avus:Dat.Sg	2	m	91	avō	ō	ō
avus:Acc.Pl	2	m	91	avōs	ōs	ē
avus:Gen.Sg	2	m	91	avī	ī	ō
avus:Gen.Pl	2	m	91	avōrum	ōrum	ō
avus:Abl.Sg	2	m	91	avō	ō	ō
avus:Nom.Pl	2	m	91	avī	ī	ō
avus:Acc.Sg	2	m	91	avum	um	um
avus:Dat.Pl	2	m	91	avīs	īs	ē
axis:Nom.Sg	3	m	72	axis	is	
axis:Abl.Pl	3	m	72	axibus	ibus	ibus
axis:Dat.Sg	3	m	72	axī	ī	e
axis:Acc.Pl	3	m	72	axēs	ēs	a
axis:Gen.Sg	3	m	72	axis	is	e
axis:Gen.Pl	3	m	72	axium	ium	ibus
axis:Abl.Sg	3	m	72	axe	e	e
axis:Nom.Pl	3	m	72	axēs	ēs	e
axis:Acc.Sg	3	m	72	axem	em	e
axis:Dat.Pl	3	m	72	axibus	ibus	ibus
bellua:Nom.Sg	1	f	61	bellua	a	a
