Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
quies:Dat.Sg	3	f	Dat.Sg	162	quiētī	ī	e	e	e	e	e	e	e	e	e	e
quies:Acc.Pl	3	f	Acc.Pl	162	quiētēs	ēs	e	e	e	e	e	e	e	e	e	e
quies:Gen.Sg	3	f	Gen.Sg	162	quiētis	is	i	r	r	rr	rr	rr	rr	rr	rr	rr
quies:Gen.Pl	3	f	Gen.Pl	162	quiētum	um	r	rr	rr	rr	rr	rr	rr	rr	rr	rr
quies:Abl.Sg	3	f	Abl.Sg	162	quiēte	e	e	e	e	e	e	e	e	e	e	e
quies:Nom.Pl	3	f	Nom.Pl	162	quiētēs	ēs	rr	r	r	rr	rr	rr	rr	rr	rr	rr
quies:Acc.Sg	3	f	Acc.Sg	162	quiētem	em	em	em	em	em	em	em	em	em	em	e
quies:Dat.Pl	3	f	Dat.Pl	162	quiētibus	ibus	i	rr	r	r	e	e	e	e	e	e
radius:Nom.Sg	2	m	Nom.Sg	54	radius	us	u	u	um	um	um	um	um	um	um	um
radius:Abl.Pl	2	m	Abl.Pl	54	radiīs	īs	ur	rr	rr	rr	rr	rr	rr	rr	rr	rr
radius:Dat.Sg	2	m	Dat.Sg	54	radiō	ō	ur	rr	rr	rr	rr	rr	rr	rr	rr	rr
radius:Acc.Pl	2	m	Acc.Pl	54	radiōs	ōs	rr	rr	rr	rr	rr	rr	rr	rr	rr	rr
radius:Gen.Sg	2	m	Gen.Sg	54	radiī	ī	rr	rr	rr	rr	rr	rr	rr	rr	rr	rr
radius:Gen.Pl	2	m	Gen.Pl	54	radiōrum	ōrum	rr	rr	rr	rr	rr	rr	rr	rr	rr	rr
radius:Abl.Sg	2	m	Abl.Sg	54	radiō	ō	ō	ō	ō	ō	ō	ō	ō	ō	rr	rr
radius:Nom.Pl	2	m	Nom.Pl	54	radiī	ī	rr	rr	rr	rr	rr	rr	rr	rr	rr	rr
radius:Acc.Sg	2	m	Acc.Sg	54	radium	um	um	um	um	um	um	um	um	um	um	um
radius:Dat.Pl	2	m	Dat.Pl	54	radiīs	īs	rr	rr	rr	rr	rr	rr	rr	rr	rr	rr
radix:Nom.Sg	3	f	Nom.Sg	63	rādīx			r	r	r	r	rr	rr	rr	rr	rr
radix:Abl.Pl	3	f	Abl.Pl	63	rādīcibus	ibus	i	r	r	e	e	e	e	e	e	e
radix:Dat.Sg	3	f	Dat.Sg	63	rādīcī	ī	e	e	e	e	e	e	e	e	e	e
radix:Acc.Pl	3	f	Acc.Pl	63	rādīcēs	ēs	e	e	e	e	e	e	e	e	e	e
radix:Gen.Sg	3	f	Gen.Sg	63	rādīcis	is	i	r	r	rr	rr	rr	rr	rr	rr	rr
radix:Gen.Pl	3	f	Gen.Pl	63	rādīcum	um	r	rr	rr	rr	rr	rr	rr	rr	rr	rr
radix:Abl.Sg	3	f	Abl.Sg	63	rādīce	e	e	e	e	e	e	e	e	e	e	e
