Form	Root	Suffix	Case	Gender	Declension
nāvim	nāv	im	accsg	f	3
nāvīs	nāv	īs	accpl	f	3
negōtium	negōt	ium	nomsg	n	2
negōtia	negōt	ia	nompl	n	2
negōtiī	negōt	iī	gensg	n	2
negōtiōrum	negōt	iōrum	genpl	n	2
negōtium	negōt	ium	accsg	n	2
negōtia	negōt	ia	accpl	n	2
nepōs	nep	ōs	nomsg	mh	3
nepōtēs	nepōt	ēs	nompl	mh	3
nepōtis	nepōt	is	gensg	mh	3
nepōtum	nepōt	um	genpl	mh	3
nepōtem	nepōt	em	accsg	mh	3
nepōtēs	nepōt	ēs	accpl	mh	3
neptis	nept	is	nomsg	fh	3
neptēs	nept	ēs	nompl	fh	3
neptis	nept	is	gensg	fh	3
neptium	nept	ium	genpl	fh	3
neptim	nept	im	accsg	fh	3
neptīs	nept	īs	accpl	fh	3
nix	nix	NULL	nomsg	f	3
nivēs	niv	ēs	nompl	f	3
nivis	niv	is	gensg	f	3
nivum	niv	um	genpl	f	3
nivem	niv	em	accsg	f	3
nivēs	niv	ēs	accpl	f	3
nōmen	nōm	en	nomsg	n	3
nōmina	nōmin	a	nompl	n	3
nōminis	nōmin	is	gensg	n	3
nōminum	nōmin	um	genpl	n	3
nōmen	nōm	en	accsg	n	3
nōmina	nōmin	a	accpl	n	3
nox	nox	NULL	nomsg	f	3
noctēs	noct	ēs	nompl	f	3
noctis	noct	is	gensg	f	3
noctium	noct	ium	genpl	f	3
noctem	noct	em	accsg	f	3
noctēs	noct	ēs	accpl	f	3
nūbēs	nūb	ēs	nomsg	f	3
nūbēs	nūb	ēs	nompl	f	3
nūbis	nūb	is	gensg	f	3
nūbium	nūb	ium	genpl	f	3
nūbem	nūb	em	accsg	f	3
nūbēs	nūb	ēs	accpl	f	3
numerus	numer	us	nomsg	m	2
numerī	numer	ī	nompl	m	2
numerī	numer	ī	gensg	m	2
numerōrum	numer	ōrum	genpl	m	2
numerum	numer	um	accsg	m	2
numerōs	numer	ōs	accpl	m	2
nurus	nur	us	nomsg	fh	4
nurūs	nur	ūs	nompl	fh	4
nurūs	nur	ūs	gensg	fh	4
nuruum	nur	uum	genpl	fh	4
nurum	nur	um	accsg	fh	4
nurūs	nur	ūs	accpl	fh	4
nux	nux	NULL	nomsg	f	3
nucēs	nuc	ēs	nompl	f	3
nucis	nuc	is	gensg	f	3
nucum	nuc	um	genpl	f	3
nucem	nuc	em	accsg	f	3
nucēs	nuc	ēs	accpl	f	3
obitus	obit	us	nomsg	m	4
obitūs	obit	ūs	nompl	m	4
obitūs	obit	ūs	gensg	m	4
obituum	obit	uum	genpl	m	4
obitum	obit	um	accsg	m	4
obitūs	obit	ūs	accpl	m	4
obolus	obol	us	nomsg	m	2
obolī	obol	ī	nompl	m	2
obolī	obol	ī	gensg	m	2
obolōrum	obol	ōrum	genpl	m	2
obolum	obol	um	accsg	m	2
obolōs	obol	ōs	accpl	m	2
occidēns	occid	ēns	nomsg	m	3
occidēntēs	occid	ēULē	nompl	m	3
occidēntis	occid	ēULL	gensg	m	3
occidēntum	occid	ēULL	genpl	m	3
occidēntem	occid	ēULL	accsg	m	3
occidēntēs	occid	ēULē	accpl	m	3
oculus	ocul	us	nomsg	m	2
oculī	ocul	ī	nompl	m	2
oculī	ocul	ī	gensg	m	2
oculōrum	ocul	ōrum	genpl	m	2
oculum	ocul	um	accsg	m	2
oculōs	ocul	ōs	accpl	m	2
odor	odor	NULL	nomsg	m	3
odōrēs	odōr	ēs	nompl	m	3
odōris	odōr	is	gensg	m	3
odōrum	odōr	um	genpl	m	3
odōrem	odōr	em	accsg	m	3
odōrēs	odōr	ēs	accpl	m	3
officium	offic	ium	nomsg	n	2
officia	offic	ia	nompl	n	2
officiī	offic	iī	gensg	n	2
officiōrum	offic	iōrum	genpl	n	2
officium	offic	ium	accsg	n	2
officia	offic	ia	accpl	n	2
oleum	ole	um	nomsg	n	2
olea	ole	a	nompl	n	2
oleī	ole	ī	gensg	n	2
oleōrum	ole	ōrum	genpl	n	2
oleum	ole	um	accsg	n	2
olea	ole	a	accpl	n	2
olīvētum	olīvēt	um	nomsg	n	2
olīvēta	olīvēt	a	nompl	n	2
olīvētī	olīvēt	ī	gensg	n	2
olīvētōrum	olīvēt	ōrum	genpl	n	2
olīvētum	olīvēt	um	accsg	n	2
olīvēta	olīvēt	a	accpl	n	2
opera	oper	a	nomsg	f	1
operai	oper	ai	nompl	f	1
