Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
121	ager:Nom.Sg	2	m	Nom.Sg	Nom	Sg	337		ager		o	o	o	o	o	o	o	o	o	o
122	ager:Abl.Pl	2	m	Abl.Pl	Abl	Pl	337	īs	agrīs	i	e									
123	ager:Dat.Sg	2	m	Dat.Sg	Dat	Sg	337	ō	agrō	o										
124	ager:Acc.Pl	2	m	Acc.Pl	Acc	Pl	337	ōs	agrōs	o										
125	ager:Gen.Sg	2	m	Gen.Sg	Gen	Sg	337	ī	agrī	i	i									
126	ager:Gen.Pl	2	m	Gen.Pl	Gen	Pl	337	ōrum	agrōrum	oro										
127	ager:Abl.Sg	2	m	Abl.Sg	Abl	Sg	337	ō	agrō	o	o	o	o	o	o	o	o	o	o	o
128	ager:Nom.Pl	2	m	Nom.Pl	Nom	Pl	337	ī	agrī	i										
129	ager:Acc.Sg	2	m	Acc.Sg	Acc	Sg	337	um	agrum	o	o	o	o	o	o	o	o	o	o	o
130	ager:Dat.Pl	2	m	Dat.Pl	Dat	Pl	337	īs	agrīs	i	i									
131	agger:Nom.Sg	3	m	Nom.Sg	Nom	Sg	76		agger		e	e	e	e	e	e	e	e	e	e
132	agger:Abl.Pl	3	m	Abl.Pl	Abl	Pl	76	ibus	aggeribus	ebo	e	i	i	i	i	i	i	i	i	i
133	agger:Dat.Sg	3	m	Dat.Sg	Dat	Sg	76	ī	aggerī	i	i	i	i	i	i	i	i	i	i	i
134	agger:Acc.Pl	3	m	Acc.Pl	Acc	Pl	76	ēs	aggerēs	i	i	i	i	i	i	i	i	i	i	i
135	agger:Gen.Sg	3	m	Gen.Sg	Gen	Sg	76	is	aggeris	i	i	i	i	i	i	i	i	i	i	i
136	agger:Gen.Pl	3	m	Gen.Pl	Gen	Pl	76	um	aggerum	o										
137	agger:Abl.Sg	3	m	Abl.Sg	Abl	Sg	76	e	aggere	e	e	e	e	e	e	e	e	e	e	e
138	agger:Nom.Pl	3	m	Nom.Pl	Nom	Pl	76	ēs	aggerēs	i		i	i	i	i	i	i	i	i	i
139	agger:Acc.Sg	3	m	Acc.Sg	Acc	Sg	76	em	aggerem	e	e	e	e	e	e	e	e	e	e	e
140	agger:Dat.Pl	3	m	Dat.Pl	Dat	Pl	76	ibus	aggeribus	ebo										
141	agmen:Nom.Sg	3	n	Nom.Sg	Nom	Sg	360		agmen											
142	agmen:Abl.Pl	3	n	Abl.Pl	Abl	Pl	360	ibus	agminibus	ebo	e	i	i	i	i					
143	agmen:Dat.Sg	3	n	Dat.Sg	Dat	Sg	360	ī	agminī	i	i	i	i	i	i					
144	agmen:Acc.Pl	3	n	Acc.Pl	Acc	Pl	360	a	agmina	a			i	i	i					
145	agmen:Gen.Sg	3	n	Gen.Sg	Gen	Sg	360	is	agminis	i	i	i	i	i	i					
146	agmen:Gen.Pl	3	n	Gen.Pl	Gen	Pl	360	um	agminum	o										
147	agmen:Abl.Sg	3	n	Abl.Sg	Abl	Sg	360	e	agmine	e	e	e	e	e						
148	agmen:Nom.Pl	3	n	Nom.Pl	Nom	Pl	360	a	agmina	a				i	i					
149	agmen:Acc.Sg	3	n	Acc.Sg	Acc	Sg	360		agmen											
150	agmen:Dat.Pl	3	n	Dat.Pl	Dat	Pl	360	ibus	agminibus	ebo										
151	ala:Nom.Sg	1	f	Nom.Sg	Nom	Sg	73	a	āla	a	a	a	a	a	a	a	a	a	a	a
152	ala:Abl.Pl	1	f	Abl.Pl	Abl	Pl	73	īs	ālīs	i	e	i	i	i	i	i	i	i	i	i
153	ala:Dat.Sg	1	f	Dat.Sg	Dat	Sg	73	ae	ālae	e	i	i	i	i	i	i	i	i	i	i
154	ala:Acc.Pl	1	f	Acc.Pl	Acc	Pl	73	ās	ālās	e	e	i	i	i	i	i	i	i	i	i
155	ala:Gen.Sg	1	f	Gen.Sg	Gen	Sg	73	ae	ālae	e	i	i	i	i	i	i	i	i	i	i
156	ala:Gen.Pl	1	f	Gen.Pl	Gen	Pl	73	ārum	ālārum	aro	e	i								
157	ala:Abl.Sg	1	f	Abl.Sg	Abl	Sg	73	ā	ālā	a	a	a	a	a	a	a	a	a	a	a
158	ala:Nom.Pl	1	f	Nom.Pl	Nom	Pl	73	ae	ālae	e	i	i	i	i	i	i	i	i	i	i
159	ala:Acc.Sg	1	f	Acc.Sg	Acc	Sg	73	am	ālam	a	a	a	a	a	a	a	a	a	a	a
160	ala:Dat.Pl	1	f	Dat.Pl	Dat	Pl	73	īs	ālīs	i	e	i								
161	altum:Nom.Sg	2	n	Nom.Sg	Nom	Sg	96	um	altum	o	o	o	o	o	o	o	o	o	o	o
162	altum:Abl.Pl	2	n	Abl.Pl	Abl	Pl	96	īs	altīs	i	e									
163	altum:Dat.Sg	2	n	Dat.Sg	Dat	Sg	96	ō	altō	o										
164	altum:Acc.Pl	2	n	Acc.Pl	Acc	Pl	96	a	alta	a										
165	altum:Gen.Sg	2	n	Gen.Sg	Gen	Sg	96	ī	altī	i										
166	altum:Gen.Pl	2	n	Gen.Pl	Gen	Pl	96	ōrum	altōrum	oro										
167	altum:Abl.Sg	2	n	Abl.Sg	Abl	Sg	96	ō	altō	o	o	o	o	o	o	o	o	o	o	o
168	altum:Nom.Pl	2	n	Nom.Pl	Nom	Pl	96	a	alta	a										
169	altum:Acc.Sg	2	n	Acc.Sg	Acc	Sg	96	um	altum	o	o	o	o	o	o	o	o	o	o	o
170	altum:Dat.Pl	2	n	Dat.Pl	Dat	Pl	96	īs	altīs	i										
171	amica:Nom.Sg	1	f	Nom.Sg	Nom	Sg	564	a	amīca	a	a	a	a	a	a	a	a	a	a	a
172	amica:Abl.Pl	1	f	Abl.Pl	Abl	Pl	564	īs	amīcīs	i	i	i	i	i	i	i	i	i	i	i
173	amica:Dat.Sg	1	f	Dat.Sg	Dat	Sg	564	ae	amīcae	e	i	i	i	i	i	i	i	i	i	i
174	amica:Acc.Pl	1	f	Acc.Pl	Acc	Pl	564	ās	amīcās	e	i	i	i	i	i	i	i	i	i	i
175	amica:Gen.Sg	1	f	Gen.Sg	Gen	Sg	564	ae	amīcae	e	i	i	i	i	i	i	i	i	i	i
176	amica:Gen.Pl	1	f	Gen.Pl	Gen	Pl	564	ārum	amīcārum	aro	e	i								
177	amica:Abl.Sg	1	f	Abl.Sg	Abl	Sg	564	ā	amīcā	a	a	a	a	a	a	a	a	a	a	a
178	amica:Nom.Pl	1	f	Nom.Pl	Nom	Pl	564	ae	amīcae	e	i	i	i	i	i	i	i	i	i	i
179	amica:Acc.Sg	1	f	Acc.Sg	Acc	Sg	564	am	amīcam	a	a	a	a	a	a	a	a	a	a	a
180	amica:Dat.Pl	1	f	Dat.Pl	Dat	Pl	564	īs	amīcīs	i	i	i								
181	amicus:Nom.Sg	2	m	Nom.Sg	Nom	Sg	564	us	amīcus	o	o	o	o	o	o	o	o	o	o	o
182	amicus:Abl.Pl	2	m	Abl.Pl	Abl	Pl	564	īs	amīcīs	i	e									
183	amicus:Dat.Sg	2	m	Dat.Sg	Dat	Sg	564	ō	amīcō	o	i									
184	amicus:Acc.Pl	2	m	Acc.Pl	Acc	Pl	564	ōs	amīcōs	o										
