Form	Root	Suffix	Case	Gender	Declension	Parent	English	Total	Prose	Poetry
mors	mors	NULL	Nom.Sg	f	3	mors	death	921	675	246
mortēs	mort	ēs	Nom.Pl	f	3	mors	death	921	675	246
mortis	mort	is	Gen.Sg	f	3	mors	death	921	675	246
mortium	mort	ium	Gen.Pl	f	3	mors	death	921	675	246
mortī	mort	ī	Dat.Sg	f	3	mors	death	921	675	246
mortibus	mort	ibus	Dat.Pl	f	3	mors	death	921	675	246
mortem	mort	em	Acc.Sg	f	3	mors	death	921	675	246
mortēs	mort	ēs	Acc.Pl	f	3	mors	death	921	675	246
morte	mort	e	Abl.Sg	f	3	mors	death	921	675	246
mortibus	mort	ibus	Abl.Pl	f	3	mors	death	921	675	246
mors	mors	NULL	Voc.Sg	f	3	mors	death	921	675	246
mortēs	mort	ēs	Voc.Pl	f	3	mors	death	921	675	246
bonum	bon	um	Nom.Sg	n	2	bonum	good	919	873	46
bona	bon	a	Nom.Pl	n	2	bonum	good	919	873	46
bonī	bon	ī	Gen.Sg	n	2	bonum	good	919	873	46
bonōrum	bon	ōrum	Gen.Pl	n	2	bonum	good	919	873	46
bonō	bon	ō	Dat.Sg	n	2	bonum	good	919	873	46
bonīs	bon	īs	Dat.Pl	n	2	bonum	good	919	873	46
bonum	bon	um	Acc.Sg	n	2	bonum	good	919	873	46
bona	bon	a	Acc.Pl	n	2	bonum	good	919	873	46
bonō	bon	ō	Abl.Sg	n	2	bonum	good	919	873	46
bonīs	bon	īs	Abl.Pl	n	2	bonum	good	919	873	46
bonum	bon	um	Voc.Sg	n	2	bonum	good	919	873	46
bona	bon	a	Voc.Pl	n	2	bonum	good	919	873	46
malum	mal	um	Nom.Sg	n	2	malum	evil	908	635	273
mala	mal	a	Nom.Pl	n	2	malum	evil	908	635	273
malī	mal	ī	Gen.Sg	n	2	malum	evil	908	635	273
malōrum	mal	ōrum	Gen.Pl	n	2	malum	evil	908	635	273
malō	mal	ō	Dat.Sg	n	2	malum	evil	908	635	273
malīs	mal	īs	Dat.Pl	n	2	malum	evil	908	635	273
malum	mal	um	Acc.Sg	n	2	malum	evil	908	635	273
mala	mal	a	Acc.Pl	n	2	malum	evil	908	635	273
malō	mal	ō	Abl.Sg	n	2	malum	evil	908	635	273
malīs	mal	īs	Abl.Pl	n	2	malum	evil	908	635	273
malum	mal	um	Voc.Sg	n	2	malum	evil	908	635	273
