Word	Declension	Gender	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ala:Nom.Pl	1	f	73	ālae	ae	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
ala:Acc.Sg	1	f	73	ālam	am	am	um	um	um	um	um	um	um	um	um	um	um	um	um	um
ala:Dat.Pl	1	f	73	ālīs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
altum:Nom.Sg	2	n	96	altum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
altum:Abl.Pl	2	n	96	altīs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
altum:Dat.Sg	2	n	96	altō	ō	ō	ō	ō	ō	ō	e	e	e	e	e	e	e	e	e	e
altum:Acc.Pl	2	n	96	alta	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
altum:Gen.Sg	2	n	96	altī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
altum:Gen.Pl	2	n	96	altōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
altum:Abl.Sg	2	n	96	altō	ō	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
altum:Nom.Pl	2	n	96	alta	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
altum:Acc.Sg	2	n	96	altum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
altum:Dat.Pl	2	n	96	altīs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
amica:Nom.Sg	1	f	564	amīca	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
amica:Abl.Pl	1	f	564	amīcīs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
amica:Dat.Sg	1	f	564	amīcae	ae	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
amica:Acc.Pl	1	f	564	amīcās	ās	ās	ō	ō	ō	ō	ō	ō	ō	ō	e	e	e	e	e	e
amica:Gen.Sg	1	f	564	amīcae	ae	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
amica:Gen.Pl	1	f	564	amīcārum	ārum	ārum	ārum	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
amica:Abl.Sg	1	f	564	amīcā	ā	ārum	ārum	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
amica:Nom.Pl	1	f	564	amīcae	ae	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
amica:Acc.Sg	1	f	564	amīcam	am	am	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
amica:Dat.Pl	1	f	564	amīcīs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
amicus:Nom.Sg	2	m	564	amīcus	us	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
amicus:Abl.Pl	2	m	564	amīcīs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
amicus:Dat.Sg	2	m	564	amīcō	ō	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
amicus:Acc.Pl	2	m	564	amīcōs	ōs															
amicus:Gen.Sg	2	m	564	amīcī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
amicus:Gen.Pl	2	m	564	amīcōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
amicus:Abl.Sg	2	m	564	amīcō	ō	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
amicus:Nom.Pl	2	m	564	amīcī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
amicus:Acc.Sg	2	m	564	amīcum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
amicus:Dat.Pl	2	m	564	amīcīs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
amnis:Nom.Sg	3	m	244	amnis	is	īs	īs	īs	īs	īs	a	a	a	a	a	a	a	a	a	a
amnis:Abl.Pl	3	m	244	amnibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
amnis:Dat.Sg	3	m	244	amnī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ōs	ēs	ēs	ēs
amnis:Acc.Pl	3	m	244	amnēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amnis:Gen.Sg	3	m	244	amnis	is	īs	īs	īs	īs	īs	a	a	a	a	a	a	a	a	a	a
amnis:Gen.Pl	3	m	244	amnium	ium	us	ē	e	e	e	e	a	a	a	a	a	a	a	a	a
amnis:Abl.Sg	3	m	244	amne	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
amnis:Nom.Pl	3	m	244	amnēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amnis:Acc.Sg	3	m	244	amnem	em	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amnis:Dat.Pl	3	m	244	amnibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
amor:Nom.Sg	3	m	539	amor																
amor:Abl.Pl	3	m	539	amōribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
amor:Dat.Sg	3	m	539	amōrī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	uī
amor:Acc.Pl	3	m	539	amōrēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amor:Gen.Sg	3	m	539	amōris	is	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	ōrum	ōrum	ōrum
amor:Gen.Pl	3	m	539	amōrum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
amor:Abl.Sg	3	m	539	amōre	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
